latitude,longitude,time,date,light,sound value,sound average,sound peak,temperature, gas, gas average, gas peak, people, cumulative people
25.0485553741,121.5761260986,3:3:19,8/11/2016,13,7,14.87,247,42.29,191.00,191.95,193.00,0,3
25.0485019683,121.5104827880,5:57:1,9/11/2016,26,11,12.73,40,21.29,100.00,99.85,100.00,0,37
25.0484867095,121.5104675292,5:57:3,9/11/2016,24,22,12.31,38,21.29,101.00,100.87,101.00,0,37
25.0484790802,121.5104522705,5:57:4,9/11/2016,25,13,10.07,35,20.80,101.00,101.00,101.00,0,37
25.0484657287,121.5104522705,5:57:5,9/11/2016,24,13,8.53,30,20.31,100.00,100.13,101.00,0,37
25.0484580993,121.5104522705,5:57:6,9/11/2016,24,61,15.06,105,21.29,100.00,100.00,100.00,0,37
25.0484504699,121.5104522705,5:57:7,9/11/2016,25,9,7.07,53,20.80,99.00,99.17,100.00,0,37
25.0484371185,121.5104522705,5:57:8,9/11/2016,24,10,9.43,32,20.80,99.00,99.00,99.00,0,37
25.0484294891,121.5104293823,5:57:9,9/11/2016,24,4,13.40,48,21.29,97.00,97.87,99.00,0,37
25.0484218597,121.5104293823,5:57:10,9/11/2016,23,3,8.26,82,20.80,97.00,96.87,98.00,0,37
25.0484008789,121.5104141235,5:57:11,9/11/2016,22,2,5.00,55,20.31,96.00,96.98,97.00,0,37
25.0483798980,121.5104141235,5:57:12,9/11/2016,23,2,4.08,24,20.31,94.00,95.78,96.00,0,37
25.0483608245,121.5104141235,5:57:13,9/11/2016,24,3,2.88,28,20.80,94.00,93.97,94.00,0,37
25.0483474731,121.5103988647,5:57:14,9/11/2016,25,3,2.60,15,20.80,94.00,93.43,94.00,0,37
25.0483398437,121.5103988647,5:57:15,9/11/2016,24,4,8.67,41,20.80,93.00,93.39,94.00,0,37
25.0483283996,121.5103988647,5:57:16,9/11/2016,25,11,3.70,35,21.29,94.00,93.63,95.00,0,37
25.0483150482,121.5103836059,5:57:17,9/11/2016,25,7,7.34,32,21.29,93.00,93.38,94.00,0,37
25.0482997894,121.5103836059,5:57:18,9/11/2016,24,7,2.00,16,20.80,94.00,93.47,94.00,0,37
25.0482864379,121.5103683471,5:57:19,9/11/2016,25,10,2.91,22,20.80,93.00,93.37,94.00,0,37
25.0483112335,121.5103378295,5:57:20,9/11/2016,25,1,5.33,30,20.80,93.00,93.00,93.00,0,37
25.0483112335,121.5103378295,5:57:21,9/11/2016,26,4,3.13,18,20.80,93.00,93.00,93.00,0,37
