latitude,longitude,time,date,light,sound value,sound average,sound peak,temperature,people,cumulative people
51.5016593933,0.0055066003,14:18:46,18/11/2016,88,16,12.47,40,8.59,0,0
51.5016670227,0.0055116004,14:18:47,18/11/2016,42,2,7.42,31,8.59,0,0
51.5016746520,0.0055033006,14:18:48,18/11/2016,28,0,0.71,16,8.11,0,0
51.5016746520,0.0054866003,14:18:48,18/11/2016,27,2,4.60,66,8.59,0,0
51.5016937255,0.0054783000,14:18:50,18/11/2016,30,0,17.67,144,9.08,0,0
51.5016937255,0.0054766006,14:18:51,18/11/2016,31,0,0.12,4,8.59,0,0
51.5017013549,0.0054750003,14:18:52,18/11/2016,29,3,0.46,17,8.59,0,0
51.5017089843,0.0054800004,14:18:52,18/11/2016,30,5,3.76,66,8.11,0,0
51.5017166137,0.0054866003,14:18:54,18/11/2016,31,17,11.61,97,9.08,0,0
51.5017242431,0.0054916000,14:18:55,18/11/2016,32,0,13.87,95,8.59,0,0
51.5017738342,0.0055366001,14:18:56,18/11/2016,30,16,4.51,43,9.08,0,0
51.5017967224,0.0055715999,14:18:56,18/11/2016,29,20,0.61,23,9.08,0,0
51.5018234252,0.0055966000,14:18:58,18/11/2016,30,0,1.04,35,9.08,0,0
51.5018310546,0.0056083002,14:18:59,18/11/2016,28,0,0.92,15,8.59,0,0
51.5018539428,0.0056283001,14:19:0,18/11/2016,27,1,0.37,12,8.59,0,0
51.5018730163,0.0056316003,14:19:0,18/11/2016,27,0,0.18,5,9.08,0,0
51.5019302368,0.0056316003,14:19:2,18/11/2016,31,8,0.78,23,8.59,0,0
51.5019683837,0.0056550002,14:19:3,18/11/2016,28,0,1.51,21,9.08,0,0
51.5020332336,0.0056065998,14:19:4,18/11/2016,27,0,0.67,14,9.08,0,0
51.5020408630,0.0056065998,14:19:4,18/11/2016,26,0,1.68,36,9.08,0,0
51.5020599365,0.0055966000,14:19:6,18/11/2016,25,1,1.21,21,9.08,0,0
51.5020675659,0.0056016006,14:19:7,18/11/2016,26,2,4.80,133,9.08,0,0
51.5020904541,0.0056115999,14:19:8,18/11/2016,30,0,2.84,31,9.08,0,0
51.5021095275,0.0056250000,14:19:8,18/11/2016,29,0,1.08,17,6.64,0,0
51.5021324157,0.0056350002,14:19:10,18/11/2016,27,0,1.80,21,9.08,0,0
51.5021476745,0.0056466007,14:19:11,18/11/2016,30,5,1.21,16,9.08,0,0
51.5021553039,0.0056565999,14:19:12,18/11/2016,30,0,0.52,14,9.08,0,0
51.5021553039,0.0056616001,14:19:12,18/11/2016,31,1,0.34,16,9.08,0,0
51.5021476745,0.0056649999,14:19:14,18/11/2016,30,8,2.79,39,9.08,0,0
51.5021476745,0.0056683006,14:19:15,18/11/2016,29,3,9.38,50,9.08,0,0
51.5021553039,0.0056732997,14:19:16,18/11/2016,29,13,12.84,47,9.08,0,0
51.5021553039,0.0056766004,14:19:16,18/11/2016,28,13,15.65,56,8.59,0,0
51.5021553039,0.0056750006,14:19:18,18/11/2016,28,39,19.10,49,9.08,0,0
51.5021476745,0.0056700000,14:19:19,18/11/2016,29,18,11.72,34,8.59,0,0
51.5021553039,0.0056649999,14:19:20,18/11/2016,30,0,1.76,16,8.59,0,0
51.5021553039,0.0056700000,14:19:20,18/11/2016,29,0,0.37,9,8.59,0,0
51.5021553039,0.0056582999,14:19:22,18/11/2016,29,0,0.18,7,8.59,0,0
51.5021553039,0.0056565999,14:19:23,18/11/2016,29,0,5.45,43,8.59,0,0
51.5021553039,0.0056550002,14:19:24,18/11/2016,25,1,0.74,9,9.08,0,0
51.5021743774,0.0056332998,14:19:24,18/11/2016,24,0,1.95,11,9.08,0,0
51.5021743774,0.0056233000,14:19:26,18/11/2016,24,0,1.67,11,9.08,0,0
51.5021820068,0.0056150007,14:19:27,18/11/2016,26,1,1.26,21,9.08,0,0
51.5021820068,0.0055999999,14:19:28,18/11/2016,28,0,2.89,24,9.08,0,0
51.5021820068,0.0055982999,14:19:28,18/11/2016,28,1,4.96,46,9.08,0,0
51.5021820068,0.0055800004,14:19:30,18/11/2016,27,2,2.86,20,9.08,0,0
51.5021820068,0.0055700006,14:19:31,18/11/2016,27,0,4.99,30,9.08,0,0
51.5021972656,0.0055432996,14:19:32,18/11/2016,26,3,3.44,18,9.08,0,0
51.5022201538,0.0055033006,14:19:32,18/11/2016,25,2,3.26,51,9.08,0,0
51.5022392272,0.0054932999,14:19:34,18/11/2016,25,4,11.42,68,9.08,0,0
51.5022468566,0.0054766006,14:19:35,18/11/2016,26,10,13.66,122,9.08,1,1
51.5022621154,0.0054666004,14:19:36,18/11/2016,25,2,8.67,73,8.59,0,1
51.5022773742,0.0054650001,14:19:36,18/11/2016,25,3,5.73,23,9.08,0,1
51.5022964477,0.0054550004,14:19:38,18/11/2016,26,8,5.83,24,9.08,0,1
51.5023117065,0.0054415998,14:19:39,18/11/2016,28,8,8.78,32,9.08,0,1
51.5023193359,0.0054350004,14:19:40,18/11/2016,28,3,12.83,29,9.08,0,1
