latitude,longitude,time,date,light,temperature,people,people cumulative
51.5021247863,0.0048750000,10:11:4,25/9/2017,128,26.66,0,0
51.5021247863,0.0048750000,10:11:4,25/9/2017,123,29.10,0,0
51.5021476745,0.0048699998,10:11:5,25/9/2017,115,27.15,0,0
51.5021476745,0.0048699998,10:11:5,25/9/2017,115,29.10,0,0
51.5019683837,0.0045433001,10:11:6,25/9/2017,117,27.15,0,0
51.5019683837,0.0045433001,10:11:6,25/9/2017,118,29.59,0,0
51.5020408630,0.0045349998,10:11:7,25/9/2017,98,27.15,0,0
51.5020408630,0.0045349998,10:11:7,25/9/2017,96,29.59,0,0
51.5020599365,0.0045666003,10:11:8,25/9/2017,51,27.15,0,0
51.5020599365,0.0045666003,10:11:8,25/9/2017,49,29.59,0,0
51.5020332336,0.0044682998,10:11:9,25/9/2017,41,26.17,0,0
51.5020332336,0.0044682998,10:11:9,25/9/2017,40,28.61,0,0
51.5020256042,0.0044433002,10:11:10,25/9/2017,34,26.66,0,0
51.5020256042,0.0044433002,10:11:10,25/9/2017,35,29.59,0,0
51.5020332336,0.0045683002,10:11:11,25/9/2017,32,26.66,0,0
51.5020332336,0.0045683002,10:11:11,25/9/2017,33,29.10,0,0
51.5020256042,0.0046100001,10:11:12,25/9/2017,29,26.66,0,0
51.5020256042,0.0046100001,10:11:12,25/9/2017,30,29.10,0,0
51.5015640258,0.0048949999,10:11:13,25/9/2017,28,26.66,0,0
51.5015640258,0.0048949999,10:11:13,25/9/2017,30,29.10,0,0
51.5015068054,0.0047565999,10:11:15,25/9/2017,28,26.66,0,0
51.5015068054,0.0047565999,10:11:15,25/9/2017,29,29.10,0,0
51.5014419555,0.0047333002,10:11:16,25/9/2017,28,26.66,0,0
51.5014419555,0.0047333002,10:11:16,25/9/2017,29,29.10,0,0
51.5014419555,0.0047433004,10:11:17,25/9/2017,28,26.66,0,0
51.5014419555,0.0047433004,10:11:17,25/9/2017,29,29.10,0,0
51.5014419555,0.0047616000,10:11:18,25/9/2017,28,26.66,1,1
51.5014419555,0.0047616000,10:11:18,25/9/2017,29,29.10,0,1
51.5014419555,0.0047700004,10:11:19,25/9/2017,27,26.66,0,1
51.5014419555,0.0047700004,10:11:19,25/9/2017,28,29.10,0,1
51.5014305114,0.0047565999,10:11:20,25/9/2017,27,26.66,0,1
51.5014305114,0.0047565999,10:11:20,25/9/2017,28,29.10,0,1
51.5014228820,0.0047600002,10:11:21,25/9/2017,26,26.66,0,1
51.5014228820,0.0047600002,10:11:21,25/9/2017,27,29.10,0,1
51.5014228820,0.0047583003,10:11:22,25/9/2017,26,26.66,0,1
51.5014228820,0.0047583003,10:11:22,25/9/2017,27,29.10,0,1
51.5014152526,0.0047516002,10:11:23,25/9/2017,26,26.66,0,1
51.5014152526,0.0047516002,10:11:23,25/9/2017,27,29.10,0,1
51.5014152526,0.0047483000,10:11:24,25/9/2017,25,26.17,2,3
51.5014152526,0.0047483000,10:11:24,25/9/2017,26,29.10,0,3
51.5014228820,0.0047333002,10:11:25,25/9/2017,26,26.66,0,3
51.5014228820,0.0047333002,10:11:25,25/9/2017,26,29.10,0,3
51.5014152526,0.0047300004,10:11:26,25/9/2017,25,26.66,0,3
51.5014152526,0.0047300004,10:11:26,25/9/2017,26,29.10,0,3
51.5014228820,0.0047449998,10:11:27,25/9/2017,26,26.66,0,3
51.5014228820,0.0047449998,10:11:27,25/9/2017,27,29.10,0,3
51.5014305114,0.0047765998,10:11:28,25/9/2017,27,26.66,0,3
51.5014305114,0.0047765998,10:11:28,25/9/2017,27,29.10,0,3
51.5014305114,0.0047983002,10:11:29,25/9/2017,26,26.66,0,3
51.5014305114,0.0047983002,10:11:29,25/9/2017,27,29.10,0,3
51.5014305114,0.0048165998,10:11:30,25/9/2017,26,26.66,1,4
51.5014305114,0.0048165998,10:11:30,25/9/2017,26,29.10,1,5
51.5014228820,0.0048183002,10:11:31,25/9/2017,26,27.64,1,6
51.5014228820,0.0048183002,10:11:31,25/9/2017,27,30.57,0,6
51.5014076232,0.0048099999,10:11:32,25/9/2017,25,26.66,0,6
51.5014076232,0.0048099999,10:11:32,25/9/2017,26,29.10,0,6
51.5013999938,0.0047966003,10:11:33,25/9/2017,25,26.66,0,6
51.5013999938,0.0047966003,10:11:33,25/9/2017,26,29.10,0,6
51.5013923645,0.0047765998,10:11:34,25/9/2017,25,26.66,1,7
51.5013923645,0.0047765998,10:11:34,25/9/2017,26,29.59,0,7
51.5013771057,0.0047649998,10:11:35,25/9/2017,27,27.15,0,7
51.5013771057,0.0047649998,10:11:35,25/9/2017,27,29.59,0,7
51.5013580322,0.0047565999,10:11:36,25/9/2017,26,26.66,0,7
51.5013580322,0.0047565999,10:11:36,25/9/2017,27,29.10,0,7
51.5013427734,0.0047600002,10:11:37,25/9/2017,26,26.66,1,8
51.5013427734,0.0047600002,10:11:37,25/9/2017,27,29.59,0,8
51.5013351440,0.0047733006,10:11:38,25/9/2017,27,26.66,0,8
51.5013351440,0.0047733006,10:11:38,25/9/2017,27,29.59,0,8
51.5013275146,0.0047833003,10:11:39,25/9/2017,27,27.15,0,8
51.5013275146,0.0047833003,10:11:39,25/9/2017,28,29.10,0,8
51.5013198852,0.0047950000,10:11:40,25/9/2017,29,26.66,0,8
51.5013198852,0.0047950000,10:11:40,25/9/2017,30,29.59,0,8
51.5013084411,0.0048033003,10:11:41,25/9/2017,35,26.66,2,10
51.5013084411,0.0048033003,10:11:41,25/9/2017,37,29.10,0,10
51.5013008117,0.0048116002,10:11:42,25/9/2017,36,27.15,0,10
51.5013008117,0.0048116002,10:11:42,25/9/2017,37,29.59,0,10
51.5012931823,0.0048250002,10:11:43,25/9/2017,30,26.66,0,10
51.5012931823,0.0048250002,10:11:43,25/9/2017,31,29.59,0,10
51.5012702941,0.0048266000,10:11:44,25/9/2017,26,27.15,1,11
51.5012702941,0.0048266000,10:11:44,25/9/2017,27,29.59,0,11
51.5012550354,0.0048282999,10:11:45,25/9/2017,26,27.15,0,11
51.5012550354,0.0048282999,10:11:45,25/9/2017,26,29.10,0,11
51.5012359619,0.0048383002,10:11:46,25/9/2017,25,27.15,0,11
51.5012359619,0.0048383002,10:11:46,25/9/2017,27,29.59,0,11
51.5012207031,0.0048450002,10:11:47,25/9/2017,25,26.66,0,11
51.5012207031,0.0048450002,10:11:47,25/9/2017,26,29.59,0,11
