latitude,longitude,time,date,sound val,sound avg,sound pek
51.5003242492,0.0053632998,15:4:56,21/9/2017,3,4.98,31
51.5003814697,0.0053550000,15:4:58,21/9/2017,55,9.27,55
51.5004158020,0.0053300004,15:4:59,21/9/2017,25,19.35,124
51.5004386901,0.0053150005,15:5:0,21/9/2017,29,14.83,71
51.5006752014,0.0047649998,15:5:0,21/9/2017,17,10.85,48
51.5006828308,0.0047115998,15:5:2,21/9/2017,4,13.61,110
51.5006828308,0.0046733002,15:5:3,21/9/2017,7,8.37,61
51.5006904602,0.0046416001,15:5:4,21/9/2017,17,9.30,56
51.5006828308,0.0046166000,15:5:4,21/9/2017,11,11.88,71
51.5006828308,0.0045949997,15:5:6,21/9/2017,3,19.59,93
51.5006904602,0.0045749998,15:5:7,21/9/2017,14,18.39,165
51.5006980895,0.0045532999,15:5:8,21/9/2017,10,7.94,74
51.5006980895,0.0045349998,15:5:8,21/9/2017,6,6.48,48
51.5007095336,0.0045166001,15:5:10,21/9/2017,17,12.03,64
51.5007095336,0.0045050001,15:5:11,21/9/2017,2,5.56,27
51.5007095336,0.0044865999,15:5:12,21/9/2017,28,13.16,61
51.5007095336,0.0044800000,15:5:12,21/9/2017,32,20.04,159
51.5007171630,0.0044583005,15:5:14,21/9/2017,16,22.64,124
51.5007171630,0.0044316000,15:5:15,21/9/2017,15,14.65,85
51.5007247924,0.0044100003,15:5:16,21/9/2017,10,18.46,69
51.5007171630,0.0043916001,15:5:16,21/9/2017,6,8.53,44
51.5007171630,0.0043682999,15:5:18,21/9/2017,9,6.52,40
51.5007171630,0.0043483004,15:5:19,21/9/2017,21,22.38,212
51.5007095336,0.0043300004,15:5:20,21/9/2017,96,22.74,115
51.5006980895,0.0043049998,15:5:20,21/9/2017,25,27.99,171
51.5006904602,0.0042866001,15:5:22,21/9/2017,21,19.58,108
51.5006828308,0.0042600002,15:5:23,21/9/2017,14,11.93,63
51.5006752014,0.0042416005,15:5:24,21/9/2017,21,19.98,91
51.5006675720,0.0042283005,15:5:24,21/9/2017,9,12.86,56
51.5006599426,0.0042165999,15:5:26,21/9/2017,10,15.05,98
51.5006446838,0.0041983003,15:5:27,21/9/2017,102,15.53,102
51.5006332397,0.0041766004,15:5:28,21/9/2017,24,21.40,101
