latitude,longitude,time,date,light,sound value,sound average,sound peak,temperature, people, cumulative people
51.5033302307,0.0065616006,13:38:34,25/8/2016,9,1,0.77,11,27.64,0,2
51.5033302307,0.0065683002,13:38:35,25/8/2016,9,0,0.35,8,27.64,0,2
51.5033035278,0.0065649995,13:38:36,25/8/2016,9,7,0.50,9,26.66,0,2
51.5032730102,0.0065766000,13:38:37,25/8/2016,8,1,0.99,16,27.64,0,2
51.5032615661,0.0065815997,13:38:37,25/8/2016,9,1,2.20,11,27.64,0,2
51.5032234191,0.0065733003,13:38:39,25/8/2016,13,0,0.81,13,27.64,0,2
51.5031967163,0.0065665998,13:38:40,25/8/2016,15,0,0.61,11,26.66,0,2
51.5031738281,0.0065850009,13:38:41,25/8/2016,15,2,0.32,6,26.66,0,2
51.5031509399,0.0066166009,13:38:42,25/8/2016,15,0,1.08,18,27.15,0,2
51.5031509399,0.0066415996,13:38:43,25/8/2016,16,0,0.70,14,27.64,0,2
51.5031585693,0.0066483011,13:38:43,25/8/2016,17,1,0.37,4,27.64,0,2
51.5031509399,0.0066765999,13:38:45,25/8/2016,16,0,0.40,11,27.15,0,2
51.5031394958,0.0066749997,13:38:46,25/8/2016,15,0,0.50,11,27.64,0,2
51.5031509399,0.0066915998,13:38:47,25/8/2016,15,1,0.65,10,27.64,0,2
51.5031509399,0.0067165999,13:38:48,25/8/2016,15,1,0.28,9,27.64,0,2
51.5031509399,0.0067432999,13:38:49,25/8/2016,15,0,0.48,18,27.64,1,3
51.5031509399,0.0067533006,13:38:49,25/8/2016,14,0,3.24,10,27.64,0,3
51.5031509399,0.0067500000,13:38:51,25/8/2016,14,4,1.05,12,27.64,0,3
51.5031585693,0.0067483005,13:38:52,25/8/2016,13,1,1.22,15,27.64,0,3
51.5031585693,0.0067432999,13:38:53,25/8/2016,13,0,0.23,10,27.64,0,3
51.5031738281,0.0067183008,13:38:54,25/8/2016,13,0,0.15,5,27.64,0,3
51.5031967163,0.0066965999,13:38:55,25/8/2016,12,0,0.32,8,27.64,0,3
51.5032157897,0.0066865992,13:38:55,25/8/2016,12,0,0.00,0,27.64,0,3
51.5032234191,0.0066699991,13:38:57,25/8/2016,6,0,0.58,13,27.64,0,3
51.5032234191,0.0066533002,13:38:58,25/8/2016,5,1,1.37,15,27.64,0,3
51.5032310485,0.0066400003,13:38:59,25/8/2016,5,0,0.48,10,27.64,0,3
51.5032386779,0.0066282997,13:39:0,25/8/2016,5,0,0.15,5,27.64,0,3
51.5034103393,0.0067283005,13:39:1,25/8/2016,5,0,0.10,5,27.64,0,3
51.5034904479,0.0067515997,13:39:3,25/8/2016,5,1,0.72,16,27.64,0,3
51.5035171508,0.0067566008,13:39:4,25/8/2016,5,0,0.46,9,27.64,0,3
51.5035476684,0.0067566008,13:39:5,25/8/2016,5,1,1.25,11,28.13,0,3
51.5035743713,0.0067515997,13:39:6,25/8/2016,5,0,0.47,8,28.13,0,3
51.5035972595,0.0067515997,13:39:7,25/8/2016,5,0,0.48,11,28.13,0,3
51.5036125183,0.0067483005,13:39:8,25/8/2016,5,0,0.21,8,28.13,0,3
51.5036277770,0.0067400007,13:39:9,25/8/2016,5,0,0.12,4,28.13,0,3
51.5036392211,0.0067316002,13:39:10,25/8/2016,5,0,0.14,8,28.13,0,3
51.5036697387,0.0067250003,13:39:11,25/8/2016,5,0,0.07,6,28.13,0,3
51.5036964416,0.0067083001,13:39:12,25/8/2016,5,0,0.23,8,28.61,0,3
51.5037269592,0.0066865992,13:39:13,25/8/2016,5,0,0.62,11,28.61,0,3
51.5037422180,0.0066799998,13:39:14,25/8/2016,5,5,0.33,17,28.61,0,3
51.5037498474,0.0066816000,13:39:15,25/8/2016,5,0,0.21,12,28.61,0,3
51.5037498474,0.0066749997,13:39:16,25/8/2016,5,0,0.07,6,28.61,0,3
51.5037612915,0.0066616005,13:39:17,25/8/2016,5,0,0.07,5,28.61,0,3
51.5037612915,0.0066450004,13:39:18,25/8/2016,5,0,0.23,6,29.10,0,3
51.5037841796,0.0066282997,13:39:19,25/8/2016,5,0,0.51,11,29.10,0,3
51.5037918090,0.0066150002,13:39:20,25/8/2016,5,0,0.16,5,29.10,0,3
51.5037994384,0.0066033000,13:39:21,25/8/2016,5,0,0.21,7,29.10,0,3
51.5037918090,0.0066000008,13:39:22,25/8/2016,5,0,0.13,4,29.10,0,3
51.5037918090,0.0066000008,13:39:23,25/8/2016,5,0,0.02,2,29.10,0,3
51.5037994384,0.0065900001,13:39:24,25/8/2016,5,0,0.10,6,29.10,0,3
51.5038185119,0.0065715999,13:39:25,25/8/2016,5,0,0.33,7,29.10,0,3
51.5038261413,0.0065600004,13:39:26,25/8/2016,5,0,0.23,5,29.10,0,3
51.5038337707,0.0065483002,13:39:27,25/8/2016,5,2,0.14,7,29.59,0,3
51.5038490295,0.0065350003,13:39:28,25/8/2016,5,1,0.01,2,29.10,0,3
51.5038719177,0.0065182995,13:39:29,25/8/2016,5,0,0.04,4,29.10,0,3
51.5038909912,0.0065000000,13:39:30,25/8/2016,5,0,0.03,3,29.59,0,3
51.5039138793,0.0064750003,13:39:31,25/8/2016,5,0,0.08,6,29.59,0,3
51.5039291381,0.0064632997,13:39:32,25/8/2016,6,0,0.10,5,29.59,0,3
51.5039558410,0.0064449996,13:39:33,25/8/2016,6,0,0.08,6,29.59,0,3
51.5039634704,0.0064350004,13:39:34,25/8/2016,6,1,0.09,5,29.59,0,3
51.5039710998,0.0064200010,13:39:35,25/8/2016,6,0,0.12,5,29.59,0,3
51.5039863586,0.0064050006,13:39:36,25/8/2016,5,0,0.21,6,29.59,0,3
