latitude,longitude,time,date,light,sound value,sound average,sound peak,temperature,people,cumulative people
51.5013275146,0.0048099999,13:41:23,0/0/200,45,0,5.83,42,14.45,0,0
51.5013351440,0.0048300004,13:41:24,8/12/2016,39,0,1.25,15,14.94,0,0
51.5013351440,0.0048483009,13:41:25,8/12/2016,41,0,5.71,118,14.45,0,0
51.5013275146,0.0048583002,13:41:26,8/12/2016,44,1,3.89,52,14.45,0,0
51.5013351440,0.0048850002,13:41:27,8/12/2016,44,1,3.46,31,14.45,0,0
51.5013275146,0.0048983006,13:41:28,8/12/2016,42,1,0.55,21,14.45,0,0
51.5013275146,0.0049066004,13:41:29,8/12/2016,41,0,0.47,8,14.45,0,0
51.5013198852,0.0049016003,13:41:30,8/12/2016,42,1,0.24,8,14.45,0,0
51.5013084411,0.0048983006,13:41:31,8/12/2016,43,0,0.41,9,14.45,0,0
51.5013008117,0.0048883004,13:41:32,8/12/2016,44,0,0.31,9,14.94,0,0
51.5012931823,0.0048782997,13:41:33,8/12/2016,46,0,0.15,5,14.45,0,0
51.5012855529,0.0048716001,13:41:34,8/12/2016,43,0,1.30,18,14.45,0,0
51.5012702941,0.0048666000,13:41:35,8/12/2016,45,0,0.78,11,14.94,0,0
51.5012626647,0.0048683004,13:41:36,8/12/2016,45,0,0.80,14,14.45,0,0
51.5012550354,0.0048699998,13:41:37,8/12/2016,45,2,0.97,13,14.45,0,0
51.5012435913,0.0048750000,13:41:38,8/12/2016,44,0,0.71,11,14.94,0,0
51.5012283325,0.0048733000,13:41:39,8/12/2016,43,3,0.88,9,14.94,0,0
51.5012207031,0.0048716001,13:41:40,8/12/2016,45,3,1.25,17,14.94,1,1
51.5012054443,0.0048733000,13:41:41,8/12/2016,44,9,2.49,20,14.94,0,1
51.5011978149,0.0048699998,13:41:42,8/12/2016,44,0,3.53,20,14.94,0,1
51.5011787414,0.0048699998,13:41:43,8/12/2016,48,0,1.84,31,14.94,0,1
51.5011711120,0.0048683004,13:41:44,8/12/2016,42,8,1.70,14,14.94,1,2
