latitude,longitude,time,date,MQ135 value,MQ135 average,MQ135 peak,MQ2 value, MQ2 average, MQ2 peak, dust
51.5018653869,0.0054133005,13:58:22,0/0/200,85.00,84.18,86.00,67.00,66.83,72.00,44.00
51.5018653869,0.0054133005,13:58:23,0/0/200,86.00,85.01,86.00,65.00,66.13,75.00,44.00
51.5018539428,0.0054200000,13:58:24,0/0/200,86.00,86.01,87.00,65.00,65.03,66.00,44.00
51.5018463134,0.0054149999,13:58:24,0/0/200,87.00,86.48,87.00,63.00,64.39,69.00,44.00
51.5018463134,0.0054166007,13:58:26,0/0/200,87.00,86.65,88.00,63.00,62.97,63.00,44.00
51.5018463134,0.0054166007,13:58:27,0/0/200,87.00,87.00,87.00,62.00,62.03,63.00,44.00
51.5018463134,0.0054166007,13:58:28,0/0/200,88.00,87.25,88.00,62.00,62.00,62.00,44.00
51.5018539428,0.0054166007,13:58:28,0/0/200,88.00,88.41,90.00,61.00,61.12,62.00,44.00
51.5018539428,0.0054183001,13:58:30,0/0/200,88.00,88.36,89.00,63.00,61.74,64.00,44.00
51.5018539428,0.0054200000,13:58:31,0/0/200,89.00,89.05,90.00,62.00,62.10,63.00,44.00
51.5018653869,0.0054316000,13:58:32,0/0/200,89.00,88.98,90.00,62.00,61.85,62.00,44.00
51.5018730163,0.0054316000,13:58:32,0/0/200,89.00,88.70,90.00,62.00,62.00,62.00,44.00
51.5018730163,0.0054365997,13:58:34,0/0/200,88.00,88.97,90.00,61.00,61.47,62.00,44.00
51.5018806457,0.0054433002,13:58:35,0/0/200,89.00,88.98,89.00,61.00,61.24,62.00,44.00
51.5018806457,0.0054483003,13:58:36,0/0/200,88.00,88.48,89.00,61.00,61.03,62.00,44.00
51.5018882751,0.0054550004,13:58:36,0/0/200,89.00,88.76,90.00,61.00,61.00,61.00,44.00
51.5018882751,0.0054566001,13:58:38,0/0/200,89.00,89.00,90.00,61.00,61.00,61.00,44.00
51.5018882751,0.0054682998,13:58:39,0/0/200,88.00,88.36,89.00,61.00,61.00,61.00,44.00
51.5018959045,0.0054732999,13:58:40,0/0/200,88.00,88.00,89.00,61.00,61.00,61.00,44.00
51.5018959045,0.0054783000,13:58:40,0/0/200,88.00,88.03,89.00,61.00,61.00,61.00,44.00
51.5018882751,0.0054766006,13:58:42,0/0/200,88.00,88.14,89.00,61.00,61.00,61.00,44.00
51.5018882751,0.0054816002,13:58:43,0/0/200,89.00,88.03,89.00,61.00,61.00,61.00,44.00
51.5018959045,0.0054883003,13:58:44,0/0/200,89.00,88.78,89.00,61.00,61.00,61.00,44.00
51.5018882751,0.0054966001,13:58:44,0/0/200,89.00,88.83,89.00,61.00,61.00,62.00,44.00
