
51.50185394,0.00561660, CPS, 0, CPM, 19, uSv/hr, 0.10, SLOW
51.50185394,0.00561330, CPS, 0, CPM, 19, uSv/hr, 0.10, SLOW
51.50185394,0.00560830, CPS, 0, CPM, 19, uSv/hr, 0.10, SLOW
51.50186538,0.00560500, CPS, 0, CPM, 19, uSv/hr, 0.10, SLOW
51.50186538,0.00560330, CPS, 0, CPM, 19, uSv/hr, 0.10, SLOW
51.50186538,0.00560000, CPS, 0, CPM, 19, uSv/hr, 0.10, SLOW
51.50186538,0.00559660, CPS, 2, CPM, 21, uSv/hr, 0.11, SLOW
51.50186538,0.00559500, CPS, 1, CPM, 22, uSv/hr, 0.12, SLOW
51.50187301,0.00559660, CPS, 1, CPM, 23, uSv/hr, 0.13, SLOW
51.50187301,0.00559660, CPS, 0, CPM, 23, uSv/hr, 0.13, SLOW
51.50187301,0.00559830, CPS, 1, CPM, 24, uSv/hr, 0.13, SLOW
51.50187301,0.00559660, CPS, 0, CPM, 24, uSv/hr, 0.13, SLOW
51.50187301,0.00559830, CPS, 1, CPM, 25, uSv/hr, 0.14, SLOW
51.50187301,0.00560330, CPS, 0, CPM, 26, uSv/hr, 0.14, SLOW
51.50187301,0.00560660, CPS, 0, CPM, 26, uSv/hr, 0.14, SLOW
51.50188064,0.00561000, CPS, 0, CPM, 26, uSv/hr, 0.14, SLOW
51.50188064,0.00561160, CPS, 1, CPM, 27, uSv/hr, 0.15, SLOW
51.50188064,0.00561500, CPS, 1, CPM, 27, uSv/hr, 0.15, SLOW
51.50188064,0.00561830, CPS, 0, CPM, 27, uSv/hr, 0.15, SLOW
51.50188064,0.00562330, CPS, 0, CPM, 27, uSv/hr, 0.15, SLOW
51.50188064,0.00562500, CPS, 1, CPM, 28, uSv/hr, 0.15, SLOW
51.50188064,0.00563000, CPS, 3, CPM, 30, uSv/hr, 0.17, SLOW
51.50188064,0.00563160, CPS, 0, CPM, 29, uSv/hr, 0.16, SLOW
51.50188064,0.00563330, CPS, 1, CPM, 30, uSv/hr, 0.17, SLOW
51.50188827,0.00563500, CPS, 0, CPM, 30, uSv/hr, 0.17, SLOW
51.50188827,0.00563830, CPS, 1, CPM, 31, uSv/hr, 0.17, SLOW
51.50188827,0.00564000, CPS, 0, CPM, 31, uSv/hr, 0.17, SLOW
51.50188827,0.00564330, CPS, 0, CPM, 31, uSv/hr, 0.17, SLOW
51.50188827,0.00564330, CPS, 1, CPM, 31, uSv/hr, 0.17, SLOW
51.50188064,0.00564000, CPS, 1, CPM, 29, uSv/hr, 0.16, SLOW
51.50188064,0.00563330, CPS, 1, CPM, 29, uSv/hr, 0.16, SLOW
51.50187301,0.00563000, CPS, 1, CPM, 29, uSv/hr, 0.16, SLOW
51.50187301,0.00562830, CPS, 0, CPM, 28, uSv/hr, 0.15, SLOW
51.50187301,0.00563000, CPS, 1, CPM, 29, uSv/hr, 0.16, SLOW
51.50186538,0.00562830, CPS, 2, CPM, 31, uSv/hr, 0.17, SLOW
51.50185394,0.00562500, CPS, 0, CPM, 31, uSv/hr, 0.17, SLOW
51.50185394,0.00562160, CPS, 0, CPM, 31, uSv/hr, 0.17, SLOW
51.50184631,0.00561660, CPS, 0, CPM, 30, uSv/hr, 0.17, SLOW
51.50184631,0.00561000, CPS, 0, CPM, 29, uSv/hr, 0.16, SLOW
51.50183868,0.00559830, CPS, 0, CPM, 29, uSv/hr, 0.16, SLOW
51.50183105,0.00559660, CPS, 1, CPM, 30, uSv/hr, 0.17, SLOW
51.50183105,0.00559160, CPS, 0, CPM, 29, uSv/hr, 0.16, SLOW
51.50183105,0.00559000, CPS, 1, CPM, 30, uSv/hr, 0.17, SLOW
51.50182342,0.00559000, CPS, 0, CPM, 30, uSv/hr, 0.17, SLOW
51.50182342,0.00559000, CPS, 0, CPM, 30, uSv/hr, 0.17, SLOW
51.50182342,0.00559160, CPS, 3, CPM, 34, uSv/hr, 0.19, SLOW
51.50182342,0.00559160, CPS, 0, CPM, 34, uSv/hr, 0.19, SLOW
51.50181579,0.00559160, CPS, 0, CPM, 34, uSv/hr, 0.19, SLOW
51.50181579,0.00559000, CPS, 1, CPM, 35, uSv/hr, 0.19, SLOW
51.50181579,0.00559000, CPS, 0, CPM, 35, uSv/hr, 0.19, SLOW
51.50180816,0.00559000, CPS, 0, CPM, 35, uSv/hr, 0.19, SLOW
51.50180816,0.00559160, CPS, 2, CPM, 35, uSv/hr, 0.19, SLOW
51.50180816,0.00559160, CPS, 0, CPM, 32, uSv/hr, 0.18, SLOW
51.50180816,0.00559160, CPS, 1, CPM, 33, uSv/hr, 0.18, SLOW
51.50180816,0.00559160, CPS, 0, CPM, 32, uSv/hr, 0.18, SLOW
51.50180816,0.00559000, CPS, 1, CPM, 33, uSv/hr, 0.18, SLOW
51.50180816,0.00559000, CPS, 0, CPM, 33, uSv/hr, 0.18, SLOW
51.50180816,0.00559160, CPS, 1, CPM, 34, uSv/hr, 0.19, SLOW
51.50180816,0.00559000, CPS, 1, CPM, 35, uSv/hr, 0.19, SLOW
51.50180816,0.00558830, CPS, 0, CPM, 35, uSv/hr, 0.19, SLOW
51.50180816,0.00560000, CPS, 2, CPM, 37, uSv/hr, 0.21, SLOW
51.50181579,0.00560830, CPS, 0, CPM, 37, uSv/hr, 0.21, SLOW
51.50181579,0.00562000, CPS, 1, CPM, 38, uSv/hr, 0.21, SLOW
51.50182342,0.00562330, CPS, 1, CPM, 37, uSv/hr, 0.21, SLOW
51.50182342,0.00562830, CPS, 0, CPM, 36, uSv/hr, 0.20, SLOW
51.50183105,0.00563330, CPS, 1, CPM, 36, uSv/hr, 0.20, SLOW
51.50183105,0.00563660, CPS, 0, CPM, 36, uSv/hr, 0.20, SLOW
51.50183868,0.00563830, CPS, 0, CPM, 35, uSv/hr, 0.19, SLOW
