latitude,longitude,time,date,light,sound value,sound average,sound peak,temperature,MQ9 gas average,people,cumulative people
51.5014648437,0.0045583004,12:9:39,29/7/2016,14,21,35.44,260,25.2,504.5,0,0
51.5014572143,0.0045616002,12:9:40,29/7/2016,6,26,38.07,335,25.68,511.6,0,0
51.5014572143,0.004565,12:9:41,29/7/2016,15,18,32.84,344,24.71,513.95,0,0
51.5014648437,0.0045666003,12:9:42,29/7/2016,15,25,38.91,377,25.2,514.51,0,0
51.5014724731,0.0045683002,12:9:43,29/7/2016,16,46,35.52,341,25.2,510.85,0,0
51.5014801025,0.0045733003,12:9:44,29/7/2016,16,35,37.26,355,25.2,510.71,0,0
51.5014877319,0.0045816001,12:9:45,29/7/2016,16,24,31.61,356,24.71,515.05,0,0
51.5014877319,0.0045882997,12:9:46,29/7/2016,16,31,46.37,355,24.71,513.02,0,0
51.501499176,0.0045915994,12:9:47,29/7/2016,16,33,36.82,343,24.71,510.95,0,0
51.5015068054,0.0045982999,12:9:48,29/7/2016,14,35,30.15,340,25.2,511.24,0,0
51.5015296936,0.0046050004,12:9:49,29/7/2016,15,12,17.15,333,24.22,513.33,0,0
51.5015449523,0.0046032996,12:9:50,29/7/2016,15,4,11.87,261,23.73,509.95,0,0
51.5015525817,0.0046100001,12:9:51,29/7/2016,14,2,8.15,239,23.73,509.47,0,0
51.5015792846,0.0046166,12:9:52,29/7/2016,12,7,9.91,239,24.22,509.61,0,0
51.5016021728,0.004625,12:9:53,29/7/2016,12,20,19.34,269,24.22,509.44,0,0
51.5016365051,0.0046350002,12:9:54,29/7/2016,12,6,16.47,305,24.22,511.51,0,0
51.5016517639,0.0046316003,12:9:55,29/7/2016,9,18,21.48,290,23.73,510.58,0,0
51.5016593933,0.0046350002,12:9:56,29/7/2016,10,24,18.69,245,23.73,509.3,0,0
51.5016860961,0.0046465997,12:9:57,29/7/2016,5,11,17.09,263,24.22,509.02,0,0
51.5017166137,0.0046833004,12:9:58,29/7/2016,11,16,21.13,301,24.22,510.7,0,0
51.5017318725,0.0046916003,12:9:59,29/7/2016,11,16,20.12,294,24.22,511.74,0,0
51.5017814636,0.0047433004,12:10:0,29/7/2016,11,12,19.91,271,24.22,509.78,0,0
51.5017967224,0.0047600002,12:10:1,29/7/2016,11,31,22.64,256,24.71,509.28,0,0
51.5018310546,0.0047900004,12:10:2,29/7/2016,11,17,30.41,293,24.22,511.49,0,0
51.5018653869,0.0048165998,12:10:3,29/7/2016,11,11,21.28,287,24.22,511.16,0,0
51.5018806457,0.0048316001,12:10:4,29/7/2016,6,13,17.08,261,24.71,508.79,0,0
51.5018959045,0.0048416004,12:10:5,29/7/2016,11,22,16.99,255,24.71,509.46,0,0
51.5019111633,0.0048583002,12:10:6,29/7/2016,12,16,16.59,265,24.71,509.16,0,0
51.5019378662,0.004875,12:10:7,29/7/2016,5,27,18.34,303,24.71,511.8,0,0
51.501953125,0.0049050002,12:10:8,29/7/2016,5,11,15.91,253,24.71,509.65,0,0
51.5019607543,0.0049516005,12:10:9,29/7/2016,5,10,21.89,259,24.71,510.48,0,0
51.5019607543,0.0049666004,12:10:10,29/7/2016,5,13,16.58,256,24.71,509.74,0,0
51.5019683837,0.0049865999,12:10:11,29/7/2016,16,15,23.53,296,24.71,512.03,0,0
51.5019760131,0.0050132999,12:10:12,29/7/2016,16,35,54.51,276,24.22,510.99,0,0
51.5019874572,0.0050466003,12:10:13,29/7/2016,16,40,39.85,299,23.73,510.13,0,0
51.5019874572,0.0050700001,12:10:14,29/7/2016,16,43,71.23,281,23.73,509.61,0,0
51.5019874572,0.0050933003,12:10:15,29/7/2016,16,38,31.67,333,23.73,511.45,0,0
51.5019950866,0.0051100006,12:10:16,29/7/2016,13,11,16.13,361,23.73,510.6,0,0
51.502002716,0.0051283001,12:10:17,29/7/2016,14,2,15.62,295,24.22,510.01,0,0
51.5020103454,0.0051533002,12:10:18,29/7/2016,12,0,15.92,294,23.73,512.12,0,0
51.5020179748,0.0051683001,12:10:19,29/7/2016,13,16,15.71,248,23.24,506.98,0,0
51.5020256042,0.0052250003,12:10:20,29/7/2016,12,4,12.76,291,23.73,509,0,0
51.5020256042,0.0052733001,12:10:21,29/7/2016,12,9,14.88,225,23.73,509.1,0,0
51.5020332336,0.0052982997,12:10:22,29/7/2016,11,1,17.98,211,24.22,507.68,0,0
51.5020179748,0.0053150005,12:10:23,29/7/2016,12,7,16.71,265,23.73,509.78,0,0
51.5020179748,0.0053383007,12:10:24,29/7/2016,5,3,12.7,288,24.22,511.66,0,0
51.5020179748,0.0053600001,12:10:25,29/7/2016,5,9,13.04,260,24.22,510.01,0,0
51.5020256042,0.0053766002,12:10:26,29/7/2016,5,18,34.62,268,24.22,509.26,0,0
51.5020332336,0.0053965997,12:10:27,29/7/2016,5,18,34.55,181,24.22,508.18,0,0
51.502040863,0.0054083003,12:10:28,29/7/2016,5,42,39.21,209,24.22,508.26,0,0
51.5020523071,0.0054133005,12:10:29,29/7/2016,5,14,29.8,259,24.22,508.73,0,0
51.5020599365,0.0054282999,12:10:30,29/7/2016,12,9,43.42,286,23.73,509.31,0,0
51.5020675659,0.0054433002,12:10:31,29/7/2016,7,6,21.39,296,23.73,511.12,0,0
51.5020980834,0.0054816002,12:10:32,29/7/2016,5,23,18.56,281,24.22,509.1,0,0
51.5021247863,0.0055166001,12:10:33,29/7/2016,5,20,15.1,256,23.73,509.52,0,0
51.5021476745,0.0055432996,12:10:34,29/7/2016,5,13,16.73,259,23.73,508.19,0,0
51.5021820068,0.0055733003,12:10:35,29/7/2016,4,10,13.32,273,23.73,508.18,0,0
51.502204895,0.0056033,12:10:36,29/7/2016,4,23,14.1,313,24.22,510.15,0,0
51.5022315979,0.0056166,12:10:37,29/7/2016,15,6,22.19,262,23.73,500.98,0,0
51.5022392272,0.0056265997,12:10:38,29/7/2016,4,7,11.5,255,23.73,513.42,0,0
51.502254486,0.0056332998,12:10:39,29/7/2016,12,3,11.13,301,24.22,511.98,0,0
51.5022697448,0.0056500005,12:10:40,29/7/2016,4,51,21.34,315,23.73,510.85,0,0
51.5022964477,0.0056649999,12:10:41,29/7/2016,4,8,17.13,241,24.22,507.19,0,0
51.5023193359,0.0056883001,12:10:42,29/7/2016,5,3,9.75,272,24.22,508.86,0,0
51.5023536682,0.0057250003,12:10:43,29/7/2016,5,16,13.27,324,23.73,509.14,0,0
51.502368927,0.0057350006,12:10:44,29/7/2016,5,4,17.25,277,24.22,509.47,0,0
51.5023765563,0.0057416005,12:10:45,29/7/2016,13,10,15.77,274,24.22,509.3,0,0
51.5023918151,0.00575,12:10:46,29/7/2016,13,4,16.44,343,24.22,508.44,0,0
51.5023994445,0.0057599997,12:10:47,29/7/2016,5,12,13.23,321,23.73,510.51,0,0
51.5024070739,0.0057783002,12:10:48,29/7/2016,18,6,13.4,274,24.22,506.16,0,0
51.502418518,0.0057850003,12:10:49,29/7/2016,20,9,11.27,261,24.22,509.29,0,0
51.502418518,0.0057933001,12:10:50,29/7/2016,7,9,12.4,367,24.22,509.42,0,0
51.502418518,0.0058000001,12:10:51,29/7/2016,18,7,16.9,277,23.73,508.67,0,0
51.502418518,0.0058050003,12:10:52,29/7/2016,13,0,12.63,231,23.73,508.5,0,0
51.5024261474,0.0058032999,12:10:53,29/7/2016,13,36,14.06,277,24.22,510.29,0,0
51.5024261474,0.0057983007,12:10:54,29/7/2016,13,9,11.33,311,24.22,510.08,1,1
51.5024414062,0.0058032999,12:10:55,29/7/2016,17,6,11.98,353,24.22,504.49,0,1
51.502456665,0.0058099994,12:10:56,29/7/2016,20,3,11.8,260,24.22,511.8,0,1
51.502456665,0.0057983007,12:10:57,29/7/2016,20,6,10.59,278,24.22,510.33,0,1
51.502456665,0.0057983007,12:10:58,29/7/2016,17,5,11.59,267,24.22,503.06,0,1
51.5024642944,0.0058032999,12:10:59,29/7/2016,9,8,13.49,278,24.22,513.14,0,1
51.5024757385,0.0058032999,12:11:0,29/7/2016,17,6,15.52,289,24.22,506.98,0,1
51.5024833679,0.0058116006,12:11:1,29/7/2016,16,7,12.19,297,24.22,509.81,0,1
51.5024909973,0.0058183002,12:11:2,29/7/2016,14,3,10.32,292,24.22,510.5,0,1
51.5025062561,0.0058232998,12:11:3,29/7/2016,15,1,10.49,267,24.22,508.76,0,1
51.5025138854,0.0058249998,12:11:4,29/7/2016,15,9,12.49,336,24.22,509.98,0,1
51.5025482177,0.005835,12:11:5,29/7/2016,15,14,13.13,343,24.22,512.86,0,1
51.5025634765,0.005835,12:11:6,29/7/2016,15,5,15.71,279,24.22,510.58,0,1
51.5025787353,0.0058400001,12:11:7,29/7/2016,13,5,19.02,300,24.22,509.25,0,1
51.5025978088,0.0058450007,12:11:8,29/7/2016,15,2,14.47,345,24.22,512.85,2,3
51.5026130676,0.0058516001,12:11:9,29/7/2016,15,8,16.71,339,24.22,511.96,0,3
51.5026283264,0.0058583002,12:11:10,29/7/2016,6,4,14.47,269,24.71,509.77,0,3
51.5026359558,0.0058632998,12:11:11,29/7/2016,5,10,19.97,445,24.22,510.28,0,3
51.5026512145,0.0058716006,12:11:12,29/7/2016,6,1,12.5,347,24.22,509.3,0,3
51.5026626586,0.0058766002,12:11:13,29/7/2016,6,2,13.98,290,23.73,508.04,0,3
51.5026779174,0.0058833003,12:11:14,29/7/2016,16,0,13.75,284,24.22,507.5,0,3
51.5026855468,0.0058916001,12:11:15,29/7/2016,17,1,10.84,349,24.22,509.41,0,3
51.5027008056,0.0059015998,12:11:16,29/7/2016,14,1,12.49,344,24.71,512.5,0,3
51.5027198791,0.0059166007,12:11:17,29/7/2016,5,9,12.4,297,24.71,508.18,0,3
51.5027351379,0.0059316005,12:11:18,29/7/2016,12,9,10.74,310,24.71,510.12,0,3
51.5027503967,0.0059416003,12:11:19,29/7/2016,14,8,13.39,349,24.71,510.63,0,3
51.5027580261,0.0059466004,12:11:20,29/7/2016,15,13,17.33,277,24.22,508.15,0,3
51.5027656555,0.0059466004,12:11:21,29/7/2016,19,2,13.39,308,23.73,508.63,0,3
51.5027732849,0.0059516,12:11:22,29/7/2016,14,2,12.48,311,24.22,509.78,0,3
51.502784729,0.0059583001,12:11:23,29/7/2016,4,9,12.77,271,24.71,511.64,0,3
51.5027999877,0.0059633007,12:11:24,29/7/2016,13,14,13.15,311,25.2,509.28,0,3
51.5028152465,0.0059715995,12:11:25,29/7/2016,31,13,16.28,359,24.71,503.94,0,3
51.5028305053,0.0059866003,12:11:26,29/7/2016,18,26,17.85,353,25.2,505.6,0,3
51.5028495788,0.0059949998,12:11:27,29/7/2016,24,33,45.93,440,26.17,511.56,0,3
51.5028953552,0.0060199999,12:11:28,29/7/2016,11,53,45.47,383,26.17,512.61,0,3
51.5029220581,0.0060400004,12:11:29,29/7/2016,12,53,41.23,360,26.17,512.71,0,3
51.5029220581,0.0060466003,12:11:30,29/7/2016,11,62,34.96,302,26.17,512.8,0,3
51.5029296875,0.0060566,12:11:31,29/7/2016,4,35,45.62,371,26.17,512.38,0,3
51.5029373168,0.0060583,12:11:32,29/7/2016,13,39,40.82,352,26.17,512.33,0,3
51.5029449462,0.0060583,12:11:33,29/7/2016,5,36,35.93,358,26.17,513.31,0,3
