latitude,longitude,time,date,light 0-1024,sound value 0-1024,sound average,sound peak,temperature C
51.5019760131,0.0057715997,14:29:1,27/1/2016,33,1,8.26,46,18.36
51.5020103454,0.0058133001,14:29:3,27/1/2016,33,18,10.04,91,18.36
51.5020103454,0.0058000001,14:29:4,27/1/2016,32,1,8.87,129,18.85
51.5020103454,0.0057966003,14:29:4,27/1/2016,39,9,14.59,87,18.85
51.5020179748,0.0058016004,14:29:6,27/1/2016,106,18,78.17,390,18.36
51.5020103454,0.0058083004,14:29:7,27/1/2016,80,18,26.91,161,18.36
51.5020179748,0.0058083004,14:29:8,27/1/2016,83,35,39.5,292,17.87
51.5020256042,0.0058116006,14:29:8,27/1/2016,81,46,24.88,229,18.36
51.5020256042,0.005815,14:29:10,27/1/2016,79,132,74.98,299,18.36
51.5020332336,0.0058215999,14:29:11,27/1/2016,79,28,25.37,128,18.36
51.5020332336,0.0058333005,14:29:12,27/1/2016,80,22,17,88,17.87
51.5020523071,0.005835,14:29:12,27/1/2016,81,27,15.31,100,17.87
51.5020599365,0.0058366003,14:29:14,27/1/2016,82,33,23.17,185,17.87
51.5020675659,0.0058400001,14:29:15,27/1/2016,82,12,58.19,265,17.87
51.5020751953,0.0058382997,14:29:16,27/1/2016,76,12,20.88,135,17.87
51.5020751953,0.0058416004,14:29:16,27/1/2016,75,15,14.08,83,17.87
51.5020828247,0.0058400001,14:29:18,27/1/2016,71,48,25.71,122,17.87
51.5020980834,0.0058366003,14:29:19,27/1/2016,77,23,73.66,353,17.38
51.5021095275,0.0058315997,14:29:20,27/1/2016,81,9,13.65,91,17.87
51.5021171569,0.0058232998,14:29:20,27/1/2016,41,1,12.29,99,17.38
51.5021247863,0.0058300008,14:29:22,27/1/2016,35,75,20.68,176,17.38
51.5021247863,0.0058333005,14:29:23,27/1/2016,38,106,97.95,421,17.38
51.5021247863,0.0058416004,14:29:24,27/1/2016,35,110,46.54,259,17.38
51.5021171569,0.0058416004,14:29:24,27/1/2016,35,68,60.77,241,17.38
51.5021095275,0.0058500003,14:29:26,27/1/2016,34,44,62.79,277,17.38
51.5020980834,0.0058583002,14:29:27,27/1/2016,35,36,72.13,442,17.38
