SourceFile,FileName,GPSLatitude,GPSLongitude,GPSLatDec,GPSLonDec
./IMG_9209.JPG,IMG_9209.JPG,"40 deg 45' 13.97""","73 deg 55' 15.51""",40.75388,73.920975
./IMG_9215.JPG,IMG_9215.JPG,"40 deg 45' 4.97""","73 deg 56' 28.21""",40.75138,73.94117
./IMG_9216.JPG,IMG_9216.JPG,"40 deg 45' 4.86""","73 deg 56' 31.97""",40.75135,73.942215
./IMG_9217.JPG,IMG_9217.JPG,"40 deg 45' 5.27""","73 deg 56' 32.03""",40.751465,73.94223
./IMG_9218.JPG,IMG_9218.JPG,"40 deg 45' 12.30""","73 deg 56' 47.46""",40.753418,73.94652
./IMG_9219.JPG,IMG_9219.JPG,"40 deg 45' 13.64""","73 deg 56' 50.98""",40.753788,73.947495
./IMG_9220.JPG,IMG_9220.JPG,"40 deg 45' 15.74""","73 deg 56' 54.91""",40.75437,73.948586
./IMG_9221.JPG,IMG_9221.JPG,"40 deg 45' 23.99""","73 deg 57' 12.40""",40.756664,73.953445
./IMG_9222.JPG,IMG_9222.JPG,"40 deg 45' 23.68""","73 deg 57' 13.26""",40.756577,73.95368
./IMG_9223.JPG,IMG_9223.JPG,"40 deg 45' 31.60""","73 deg 57' 20.70""",40.758778,73.95575
./IMG_9225.JPG,IMG_9225.JPG,"40 deg 45' 55.76""","73 deg 58' 21.59""",40.765488,73.972664
./IMG_9226.JPG,IMG_9226.JPG,"40 deg 45' 45.98""","73 deg 58' 40.68""",40.76277,73.97797
./IMG_9227.JPG,IMG_9227.JPG,"40 deg 45' 42.43""","73 deg 58' 44.41""",40.761787,73.979004
./IMG_9229.JPG,IMG_9229.JPG,"40 deg 45' 36.47""","73 deg 58' 49.03""",40.76013,73.980286
./IMG_9230.JPG,IMG_9230.JPG,"40 deg 45' 37.42""","73 deg 58' 48.34""",40.760395,73.980095
./IMG_9231.JPG,IMG_9231.JPG,"40 deg 45' 36.78""","73 deg 58' 51.91""",40.760216,73.98109
./IMG_9232.JPG,IMG_9232.JPG,"40 deg 45' 26.24""","73 deg 59' 8.78""",40.75729,73.98577
./IMG_9233.JPG,IMG_9233.JPG,"40 deg 45' 3.47""","73 deg 59' 16.58""",40.750965,73.98794
./IMG_9253.JPG,IMG_9253.JPG,"40 deg 45' 7.69""","73 deg 55' 49.90""",40.752136,73.93053
./IMG_9254.JPG,IMG_9254.JPG,"40 deg 45' 7.75""","73 deg 55' 59.84""",40.75215,73.93329
./IMG_9259.JPG,IMG_9259.JPG,"40 deg 44' 58.12""","73 deg 56' 12.64""",40.749477,73.936844
./IMG_9262.JPG,IMG_9262.JPG,"40 deg 44' 47.85""","73 deg 56' 36.89""",40.746624,73.94358
./IMG_9266.JPG,IMG_9266.JPG,"40 deg 44' 47.85""","73 deg 57' 4.11""",40.746624,73.95114
./IMG_9267.JPG,IMG_9267.JPG,"40 deg 44' 47.54""","73 deg 57' 4.96""",40.74654,73.95138
./IMG_9268.JPG,IMG_9268.JPG,"40 deg 44' 48.22""","73 deg 57' 10.12""",40.746727,73.95281
./IMG_9271.JPG,IMG_9271.JPG,"40 deg 44' 35.98""","73 deg 57' 6.88""",40.74333,73.95191
./IMG_9272.JPG,IMG_9272.JPG,"40 deg 44' 26.26""","73 deg 57' 8.70""",40.740627,73.952415
./IMG_9274.JPG,IMG_9274.JPG,"40 deg 44' 21.59""","73 deg 57' 9.71""",40.73933,73.9527
./IMG_9277.JPG,IMG_9277.JPG,"40 deg 43' 52.39""","73 deg 57' 35.28""",40.73122,73.9598
./IMG_9278.JPG,IMG_9278.JPG,"40 deg 43' 52.61""","73 deg 57' 45.55""",40.73128,73.962654
./IMG_9282.JPG,IMG_9282.JPG,"40 deg 43' 45.39""","73 deg 57' 27.13""",40.729275,73.957535
./IMG_9284.JPG,IMG_9284.JPG,"40 deg 43' 24.39""","73 deg 57' 17.62""",40.723442,73.954895
./IMG_9287.JPG,IMG_9287.JPG,"40 deg 43' 23.31""","73 deg 57' 16.19""",40.72314,73.9545
./IMG_9288.JPG,IMG_9288.JPG,"40 deg 43' 24.13""","73 deg 57' 6.55""",40.72337,73.95182
./IMG_9289.JPG,IMG_9289.JPG,"40 deg 43' 21.34""","73 deg 57' 6.00""",40.722595,73.95167
