latitude,longitude,time,date,MQ135 value,MQ135 average,MQ135 peak,MQ2 value, MQ2 average, MQ2 peak, dust
51.5014152526,0.0049533004,13:41:21,0/0/200,116.00,116.61,117.00,88.00,87.81,88.00,44.00
51.5014152526,0.0049516005,13:41:22,0/0/200,114.00,114.19,116.00,84.00,85.70,88.00,44.00
51.5014076232,0.0049350004,13:41:23,0/0/200,115.00,114.10,115.00,85.00,84.05,85.00,44.00
51.5014076232,0.0049265999,13:41:24,0/0/200,118.00,117.04,118.00,87.00,86.49,87.00,44.00
51.5013999938,0.0049216003,13:41:25,0/0/200,115.00,115.99,118.00,86.00,86.21,87.00,44.00
51.5013999938,0.0049182996,13:41:26,0/0/200,114.00,114.64,116.00,85.00,85.64,86.00,44.00
51.5013923645,0.0049133005,13:41:27,8/12/2016,118.00,115.94,118.00,87.00,86.52,88.00,44.00
51.5013847351,0.0049082999,13:41:28,8/12/2016,121.00,119.91,121.00,89.00,88.43,89.00,44.00
51.5013656616,0.0049033002,13:41:29,8/12/2016,121.00,121.01,122.00,90.00,89.28,90.00,44.00
51.5013580322,0.0049016003,13:41:30,8/12/2016,122.00,121.21,122.00,90.00,89.33,90.00,44.00
51.5013504028,0.0048949999,13:41:31,8/12/2016,124.00,123.27,124.00,90.00,90.00,90.00,44.00
51.5013427734,0.0048883004,13:41:32,8/12/2016,124.00,124.18,125.00,90.00,90.00,91.00,44.00
51.5013351440,0.0048815999,13:41:33,8/12/2016,126.00,125.29,127.00,90.00,90.00,90.00,44.00
51.5013198852,0.0048782997,13:41:34,8/12/2016,126.00,126.36,127.00,90.00,90.01,91.00,44.00
51.5013008117,0.0048649997,13:41:35,8/12/2016,127.00,126.56,127.00,90.00,90.00,90.00,44.00
51.5012931823,0.0048616003,13:41:36,8/12/2016,126.00,126.01,127.00,89.00,89.93,90.00,44.00
51.5012779235,0.0048516001,13:41:37,8/12/2016,126.00,126.00,126.00,89.00,89.37,90.00,44.00
51.5012626647,0.0048450002,13:41:38,8/12/2016,126.00,125.86,126.00,89.00,88.99,89.00,44.00
51.5012550354,0.0048365998,13:41:39,8/12/2016,125.00,125.71,126.00,89.00,88.91,89.00,236.30
