latitude,longitude,time,date,light,sound value,sound average,sound peak,temperature,MQ9 gas average,people,cumulative people
51.5020751953,0.0058249998,14:8:4,18/5/2016,12,0,3.5,18,15.92,538.72,0,0
51.5020751953,0.0058232998,14:8:6,18/5/2016,12,0,2.39,17,15.92,506.23,0,0
51.5020828247,0.0058282999,14:8:7,18/5/2016,12,0,12.3,143,15.92,505.88,0,0
51.5020828247,0.0058315997,14:8:7,18/5/2016,12,19,22.24,38,16.41,505.99,0,0
51.5020828247,0.0058315997,14:8:8,18/5/2016,12,0,6.34,75,15.92,534.7,0,0
51.5020751953,0.0058282999,14:8:10,18/5/2016,12,15,4.5,24,15.92,603.19,0,0
51.5020675659,0.0058266,14:8:11,18/5/2016,12,22,6.33,67,16.41,604.72,0,0
51.5020599365,0.0058333005,14:8:12,18/5/2016,12,0,13.09,67,15.92,625.99,0,0
51.5020675659,0.0058382997,14:8:12,18/5/2016,12,18,14.04,51,16.41,635.72,0,0
51.5020599365,0.0058466005,14:8:13,18/5/2016,12,15,8.29,17,15.92,694.35,0,0
51.5020523071,0.0058583002,14:8:15,18/5/2016,12,5,6.76,61,15.92,640.4,0,0
51.502040863,0.0058533005,14:8:16,18/5/2016,14,0,4.99,24,15.92,630.6,0,0
51.502040863,0.0058533005,14:8:16,18/5/2016,14,0,3.89,19,16.41,630.94,0,0
51.502040863,0.0058600001,14:8:18,18/5/2016,14,13,2.02,17,15.92,631.39,0,0
51.5020332336,0.0058632998,14:8:19,18/5/2016,12,0,4.53,26,15.43,619.41,0,0
51.5020332336,0.0058650007,14:8:19,18/5/2016,12,2,0.98,5,15.92,601.65,0,0
51.5019950866,0.0058932995,14:8:20,18/5/2016,11,0,9.25,78,15.92,609.77,0,0
51.5019683837,0.0058932995,14:8:22,18/5/2016,12,5,2.74,21,15.92,637.22,0,0
51.501953125,0.0059316005,14:8:23,18/5/2016,14,0,4.4,35,15.92,649.47,0,0
51.5019378662,0.0059500002,14:8:24,18/5/2016,14,11,8.43,34,15.92,657.08,0,0
51.5019187927,0.006,14:8:24,18/5/2016,13,1,9.05,40,15.92,660.45,0,0
51.5019111633,0.0060199999,14:8:25,18/5/2016,13,0,0,0,15.92,855,0,0
51.5018959045,0.0060550003,14:8:27,18/5/2016,13,9,1.88,27,15.92,625.4,0,0
51.5018882751,0.0060733003,14:8:28,18/5/2016,13,5,3.21,25,15.92,638.98,0,0
51.5018882751,0.0060733003,14:8:28,18/5/2016,13,1,2.26,25,15.92,646.21,0,0
51.5018882751,0.0060733003,14:8:28,18/5/2016,13,2,2,2,15.92,809,0,0
51.5018882751,0.0060733003,14:8:30,18/5/2016,13,1,4.72,35,15.43,648.98,0,0
51.5018882751,0.0060733003,14:8:30,18/5/2016,13,1,1,1,15.43,827,0,0
51.5018653869,0.0061033,14:8:31,18/5/2016,14,7,1.77,19,15.43,652.36,0,0
51.5018539428,0.0061216001,14:8:32,18/5/2016,13,4,2.63,27,15.43,653.42,0,0
51.5018653869,0.0061200003,14:8:34,18/5/2016,14,0,4.57,26,15.43,658.31,0,0
51.5018730163,0.0061300001,14:8:35,18/5/2016,14,0,1.05,12,15.43,663.11,0,0
51.5018806457,0.0061483001,14:8:36,18/5/2016,13,0,1.24,13,15.43,658.12,0,0
51.5018882751,0.0061616001,14:8:36,18/5/2016,14,2,0.56,8,15.43,654.28,0,0
51.5019035339,0.00617,14:8:37,18/5/2016,14,1,1,1,15.43,798,0,0
51.5019035339,0.0061916007,14:8:39,18/5/2016,14,0,0.61,13,15.43,675.22,0,0
51.5019111633,0.00621,14:8:40,18/5/2016,14,3,1.63,15,15.43,691.1,0,0
51.5019111633,0.0062232999,14:8:40,18/5/2016,13,2,4.47,32,15.43,691.5,0,0
51.5019111633,0.0062333002,14:8:42,18/5/2016,14,7,6.21,26,15.43,688.18,0,0
51.5019035339,0.0062383003,14:8:43,18/5/2016,13,0,2.1,15,15.43,687.25,0,0
51.5019111633,0.0062315998,14:8:43,18/5/2016,13,0,0,0,15.43,815,0,0
51.5019035339,0.0062265996,14:8:44,18/5/2016,13,7,3.31,22,15.43,688.6,0,0
51.5019035339,0.0062383003,14:8:46,18/5/2016,13,0,1.74,13,15.43,700.41,0,0
51.5019035339,0.0062466001,14:8:47,18/5/2016,13,4,0.8,8,15.43,702.09,0,0
51.5019035339,0.0062632999,14:8:48,18/5/2016,12,0,4.78,31,15.43,701.86,0,0
51.5019035339,0.0062849998,14:8:48,18/5/2016,12,0,0.91,11,15.43,700.19,0,0
51.5019035339,0.0062966003,14:8:49,18/5/2016,12,0,0,0,15.43,828,0,0
51.5018959045,0.0063266,14:8:51,18/5/2016,12,0,1.38,18,15.43,700.36,0,0
51.5018959045,0.0063499999,14:8:52,18/5/2016,11,0,0.69,14,15.43,699.7,0,0
51.5018959045,0.0063565998,14:8:52,18/5/2016,11,2,1.01,12,15.43,700.33,0,0
51.5018959045,0.0063666,14:8:54,18/5/2016,11,2,1.73,22,15.43,698.37,0,0
51.5018959045,0.0063800001,14:8:55,18/5/2016,11,0,0.89,13,15.43,693.32,0,0
51.5019035339,0.0063816003,14:8:55,18/5/2016,11,0,0,0,15.43,832,0,0
51.5018959045,0.0063983001,14:8:56,18/5/2016,11,18,7.37,52,15.43,694.23,0,0
51.5018882751,0.0064065999,14:8:58,18/5/2016,11,2,3.92,27,14.94,697.47,0,0
51.5018882751,0.0064116001,14:8:59,18/5/2016,11,2,1.47,13,14.94,699.8,0,0
51.5018806457,0.0064015998,14:9:0,18/5/2016,11,0,0.88,9,14.94,700.03,0,0
51.5018806457,0.0063849997,14:9:0,18/5/2016,10,4,0.57,15,14.94,700.92,0,0
51.5018882751,0.0063833003,14:9:1,18/5/2016,10,4,4,4,14.94,824,0,0
51.5018882751,0.0063766002,14:9:3,18/5/2016,11,34,15.56,65,14.94,701.72,0,0
51.5018882751,0.0063916006,14:9:4,18/5/2016,12,7,5.69,36,14.94,704.6,0,0
51.5018959045,0.0063950004,14:9:4,18/5/2016,12,0,7.41,45,14.94,705.62,0,0
51.5019035339,0.0063983001,14:9:6,18/5/2016,11,18,10.1,86,14.94,705.96,0,0
51.5019035339,0.0064116001,14:9:7,18/5/2016,11,14,12.66,64,14.94,706.04,0,0
51.5019111633,0.0064166011,14:9:7,18/5/2016,11,12,12,12,14.94,829,0,0
51.5019187927,0.0064233007,14:9:8,18/5/2016,11,7,7.71,58,14.94,704.49,0,0
51.5019187927,0.0064300003,14:9:10,18/5/2016,11,0,9.46,56,14.94,702.9,0,0
51.5019187927,0.0064400005,14:9:11,18/5/2016,11,0,3.17,40,14.94,699.01,0,0
51.5019187927,0.0064466004,14:9:12,18/5/2016,11,10,17.61,85,14.94,700.15,0,0
51.5019187927,0.0064549994,14:9:12,18/5/2016,11,4,8.5,73,14.94,699.29,0,0
51.5019187927,0.0064583005,14:9:13,18/5/2016,10,3,3,3,15.43,829,0,0
51.5019111633,0.0064632997,14:9:15,18/5/2016,10,0,5.54,53,14.94,694.91,0,0
51.5019111633,0.0064733004,14:9:16,18/5/2016,10,0,1,11,14.94,692.29,0,0
51.5019111633,0.0064916009,14:9:16,18/5/2016,10,0,0.57,10,15.43,691.15,0,0
