latitude,longitude,time,date,light,sound value,sound average,sound peak,temperature
51.5020179748,0.0053500003,13:45:4,24/2/2016,39,0,1.5,17,12.99
51.5020179748,0.0053516001,13:45:6,24/2/2016,42,2,2.35,20,12.5
51.5020256042,0.0053365998,13:45:7,24/2/2016,42,12,4.98,36,12.99
51.502040863,0.0053150005,13:45:8,24/2/2016,41,0,0.39,10,13.48
51.5020675659,0.0052916002,13:45:8,24/2/2016,43,0,1.67,12,13.48
51.5020675659,0.0052750005,13:45:10,24/2/2016,43,0,0.07,3,13.48
51.5020675659,0.0052699999,13:45:11,24/2/2016,39,0,0.1,3,12.99
51.5020751953,0.0052666001,13:45:12,24/2/2016,42,0,0.48,9,12.99
51.5020751953,0.0052683,13:45:12,24/2/2016,44,6,7.86,53,12.99
51.5020751953,0.0052649998,13:45:14,24/2/2016,40,0,5.16,25,12.5
51.5020751953,0.0052649998,13:45:15,24/2/2016,38,12,4.68,42,12.99
51.5020828247,0.0052632999,13:45:16,24/2/2016,43,0,2.31,25,12.5
51.5020751953,0.0052733001,13:45:16,24/2/2016,39,0,5.31,21,12.01
51.5020675659,0.0052866001,13:45:18,24/2/2016,39,5,3.12,17,12.5
51.5020332336,0.0053116006,13:45:19,24/2/2016,39,0,0.36,10,12.01
51.5020103454,0.0053450002,13:45:20,24/2/2016,41,6,2.09,17,12.99
51.502002716,0.0053483004,13:45:20,24/2/2016,39,1,0.48,7,12.5
51.5019950866,0.005355,13:45:22,24/2/2016,41,0,2.85,41,12.5
51.5019874572,0.0053566002,13:45:23,24/2/2016,40,2,0.8,10,12.5
51.5019874572,0.0053566002,13:45:24,24/2/2016,39,7,3.71,22,12.5
51.5019760131,0.0053632998,13:45:24,24/2/2016,40,0,5.02,24,12.01
51.5019683837,0.0053682999,13:45:26,24/2/2016,41,0,0.4,7,12.99
51.5019607543,0.0053649997,13:45:27,24/2/2016,39,7,1.76,13,12.5
51.5019607543,0.0053583002,13:45:28,24/2/2016,40,0,1.89,18,12.5
51.501953125,0.0053615999,13:45:28,24/2/2016,40,6,6.16,49,12.5
51.501953125,0.0053632998,13:45:30,24/2/2016,38,0,2.67,23,12.01
51.5019454956,0.005375,13:45:31,24/2/2016,40,0,5.28,50,12.5
51.501953125,0.0053699998,13:45:32,24/2/2016,40,13,2.68,26,12.01
51.501953125,0.0053666,13:45:32,24/2/2016,40,0,0.32,11,12.01
51.5019607543,0.0053566002,13:45:34,24/2/2016,40,12,2.75,29,12.5
51.5019683837,0.0053416004,13:45:35,24/2/2016,40,5,0.63,11,12.5
51.5019874572,0.0053266,13:45:36,24/2/2016,40,1,0.13,4,12.5
51.502002716,0.0053083,13:45:36,24/2/2016,40,0,0.22,7,12.99
51.5020103454,0.0052982997,13:45:38,24/2/2016,40,14,1.68,21,12.99
51.502002716,0.0052982997,13:45:39,24/2/2016,42,1,0.32,12,12.99
51.502002716,0.0052982997,13:45:40,24/2/2016,38,0,0.14,3,12.99
51.502002716,0.0053000001,13:45:40,24/2/2016,39,0,1.53,23,12.5
