latitude,longitude,time,date,light,sound value,sound average,sound peak,temperature, people, cumulative people
51.5018234252,0.0046283001,12:49:31,23/3/2016,29,0,0,0,15.92,0,0
51.5018234252,0.0046316003,12:49:33,23/3/2016,29,3,0.78,35,15.92,0,0
51.5018234252,0.0046366004,12:49:34,23/3/2016,30,0,0.53,21,15.92,0,0
51.5018234252,0.0046332998,12:49:35,23/3/2016,29,0,0.06,4,15.92,0,0
51.5018310546,0.0046399998,12:49:36,23/3/2016,29,0,0.09,6,15.92,0,0
51.5018310546,0.0046399998,12:49:37,23/3/2016,29,0,0.08,4,15.92,0,0
51.5018310546,0.0046316003,12:49:38,23/3/2016,28,7,4.42,55,15.92,0,0
51.5018234252,0.0046300001,12:49:39,23/3/2016,27,0,5.18,33,15.92,0,0
51.5018234252,0.0046350002,12:49:40,23/3/2016,28,4,2.19,18,15.92,0,0
51.5018157958,0.0046332998,12:49:41,23/3/2016,28,2,1.27,28,15.92,0,0
51.5018157958,0.0046266002,12:49:42,23/3/2016,28,0,0.27,7,15.92,0,0
51.5018081665,0.0046233005,12:49:43,23/3/2016,28,0,0.17,5,15.92,0,0
51.5018081665,0.0046266002,12:49:44,23/3/2016,28,0,0.1,5,15.92,0,0
51.5018081665,0.0046233005,12:49:45,23/3/2016,29,0,0.12,9,15.92,0,0
51.5018081665,0.0046216006,12:49:46,23/3/2016,29,0,0.25,5,15.92,0,0
51.5018081665,0.0046183004,12:49:47,23/3/2016,28,0,0.6,13,15.92,0,0
51.5018081665,0.0046050004,12:49:48,23/3/2016,29,0,0.51,9,15.92,0,0
51.5018081665,0.004585,12:49:49,23/3/2016,29,0,0.32,9,15.92,0,0
51.5018081665,0.0045749998,12:49:50,23/3/2016,29,0,0.13,4,15.92,0,0
51.5018081665,0.0045716004,12:49:51,23/3/2016,28,0,7.25,47,15.92,0,0
51.5018157958,0.0045733003,12:49:52,23/3/2016,28,4,0.19,7,15.92,0,0
51.5018157958,0.0045683002,12:49:53,23/3/2016,28,0,12.28,53,15.92,0,0
51.5018157958,0.0045616002,12:49:54,23/3/2016,28,1,0.74,9,15.92,0,0
51.5018157958,0.0045600004,12:49:55,23/3/2016,28,0,1.4,18,15.92,0,0
51.5018157958,0.0045532999,12:49:56,23/3/2016,29,3,0.86,11,15.92,0,0
51.5018234252,0.0045500001,12:49:57,23/3/2016,28,0,4.63,43,15.92,0,0
51.5018234252,0.0045465998,12:49:58,23/3/2016,27,8,5.17,44,15.92,0,0
51.5018310546,0.0045416002,12:49:59,23/3/2016,27,8,1.68,20,15.43,0,0
51.501838684,0.0045433001,12:50:0,23/3/2016,28,0,1.97,17,15.43,0,0
51.501838684,0.0045465998,12:50:1,23/3/2016,27,1,0.48,12,15.43,0,0
51.5018463134,0.0045483007,12:50:2,23/3/2016,28,0,0.2,6,15.43,0,0
51.5018463134,0.0045550003,12:50:3,23/3/2016,28,0,0.26,7,15.43,0,0
51.5018463134,0.0045566005,12:50:4,23/3/2016,28,0,5.35,35,15.43,0,0
51.5018463134,0.004565,12:50:5,23/3/2016,28,1,0.34,8,15.43,0,0
51.5018463134,0.0045716004,12:50:6,23/3/2016,31,4,8.35,42,15.43,0,0
51.5018463134,0.0045782999,12:50:7,23/3/2016,30,1,2.7,19,15.43,0,0
51.5018463134,0.0045900001,12:50:8,23/3/2016,30,0,0.36,8,15.43,0,0
51.5018539428,0.0046000003,12:50:9,23/3/2016,30,0,0.44,9,15.43,0,0
51.5018539428,0.0046083002,12:50:10,23/3/2016,29,0,2.73,24,15.43,0,0
51.5018539428,0.0046100001,12:50:11,23/3/2016,38,4,0.95,12,14.94,0,0
51.5018539428,0.0046133003,12:50:12,23/3/2016,33,3,1.72,22,14.94,0,0
51.5018653869,0.0046166,12:50:13,23/3/2016,26,5,1.83,14,14.94,0,0
51.5018653869,0.0046166,12:50:14,23/3/2016,26,0,3.78,33,14.94,0,0
51.5018653869,0.0046183004,12:50:15,23/3/2016,26,0,15.8,80,14.94,0,0
51.5018653869,0.0046216006,12:50:16,23/3/2016,25,0,17.74,96,14.94,0,0
51.5018653869,0.0046233005,12:50:17,23/3/2016,23,5,9.28,45,14.45,0,0
51.5018653869,0.0046266002,12:50:18,23/3/2016,23,3,3.2,20,14.45,0,0
51.5018653869,0.0046283001,12:50:19,23/3/2016,25,21,11.01,41,14.45,0,0
51.5018653869,0.0046300001,12:50:20,23/3/2016,24,0,2.02,19,14.45,0,0
51.5018653869,0.0046316003,12:50:21,23/3/2016,25,1,2.82,57,14.45,0,0
51.5018653869,0.0046316003,12:50:22,23/3/2016,25,1,4.38,26,14.45,0,0
51.5018653869,0.0046332998,12:50:23,23/3/2016,26,3,0.8,9,14.45,0,0
51.5018653869,0.0046332998,12:50:24,23/3/2016,25,9,2.22,17,14.45,0,0
51.5018653869,0.0046366004,12:50:25,23/3/2016,26,0,1.72,17,13.96,0,0
51.5018653869,0.0046399998,12:50:26,23/3/2016,25,0,0.4,8,13.96,0,0
51.5018653869,0.0046416001,12:50:27,23/3/2016,25,0,2.07,19,14.45,0,0
51.5018653869,0.0046433,12:50:28,23/3/2016,24,0,3.06,21,13.96,0,0
51.5018653869,0.0046482996,12:50:29,23/3/2016,27,0,0.97,12,13.96,0,0
51.5018653869,0.0046515998,12:50:30,23/3/2016,26,0,0.25,5,13.96,0,0
51.5018653869,0.0046533002,12:50:31,23/3/2016,30,0,0.2,6,14.45,0,0
51.5018653869,0.0046550002,12:50:32,23/3/2016,26,0,2.25,32,14.45,0,0
51.5018653869,0.0046550002,12:50:33,23/3/2016,27,1,3.73,37,14.45,0,0
51.5018653869,0.0046550002,12:50:34,23/3/2016,25,0,0.23,9,14.45,0,0
51.5018653869,0.0046550002,12:50:35,23/3/2016,25,0,0.01,2,14.45,0,0
51.5018653869,0.0046550002,12:50:36,23/3/2016,27,0,0.38,7,14.45,0,0
51.5018653869,0.0046550002,12:50:37,23/3/2016,23,0,0.38,10,14.45,0,0
51.5018653869,0.0046550002,12:50:38,23/3/2016,24,3,3.18,34,14.45,0,0
51.5018653869,0.0046565999,12:50:39,23/3/2016,24,0,0.72,15,14.45,0,0
51.5018653869,0.0046565999,12:50:40,23/3/2016,21,0,0.16,6,14.45,0,0
51.5018653869,0.0046600008,12:50:41,23/3/2016,22,0,0.06,5,14.45,0,0
51.5018653869,0.0046665997,12:50:42,23/3/2016,23,0,0.02,2,14.45,0,0
51.5018539428,0.0046683006,12:50:43,23/3/2016,27,0,0.05,3,14.45,0,0
51.5018539428,0.0046633,12:50:44,23/3/2016,25,71,4.24,83,14.45,0,0
51.5018539428,0.00467,12:50:45,23/3/2016,26,0,3.18,66,14.45,0,0
51.5018539428,0.0046683006,12:50:46,23/3/2016,25,4,3.14,35,14.45,0,0
51.501838684,0.0046782999,12:50:47,23/3/2016,24,0,0.39,9,14.45,0,0
51.501838684,0.00467,12:50:48,23/3/2016,25,12,5.75,39,14.45,0,0
51.5018310546,0.0046650004,12:50:49,23/3/2016,27,7,3.69,16,14.45,0,0
51.5018310546,0.0046582999,12:50:50,23/3/2016,28,4,1.69,17,14.45,0,0
51.5018310546,0.0046565999,12:50:51,23/3/2016,28,6,4.93,45,14.45,0,0
51.5018310546,0.0046582999,12:50:52,23/3/2016,28,1,0.17,5,14.45,0,0
51.5018310546,0.0046616001,12:50:53,23/3/2016,25,0,0.05,3,14.45,0,0
51.5018310546,0.0046633,12:50:54,23/3/2016,20,0,1.46,15,14.45,0,0
51.5018234252,0.0046665997,12:50:55,23/3/2016,22,0,0.25,6,14.45,0,0
51.5018310546,0.0046665997,12:50:56,23/3/2016,24,0,0.07,3,13.96,0,0
51.5018310546,0.0046665997,12:50:57,23/3/2016,25,1,0.38,9,13.96,0,0
51.5018310546,0.0046633,12:50:58,23/3/2016,24,0,0.09,4,13.96,0,0
51.5018310546,0.0046633,12:50:59,23/3/2016,29,1,1.63,35,13.96,0,0
51.5018310546,0.0046633,12:51:0,23/3/2016,27,0,0.02,3,13.96,0,0
