latitude,longitude,time,date,light,sound value,sound average,sound peak,temperature, people, cumulative people
51.5024909973,0.0059450001,13:36:4,20/4/2016,22,1,1.81,19,16.41,0,0
51.5025062561,0.0059265999,13:36:5,20/4/2016,8,8,2.04,25,16.41,0,0
51.5025405883,0.0058949999,13:36:6,20/4/2016,8,0,1.02,20,16.41,0,0
51.5025482177,0.0058965997,13:36:7,20/4/2016,8,1,2.84,31,16.41,0,0
51.5025558471,0.0058949999,13:36:8,20/4/2016,8,0,1.89,17,16.89,0,0
51.5025634765,0.0059015998,13:36:9,20/4/2016,7,4,4.19,27,16.89,0,0
51.5025634765,0.0059133005,13:36:10,20/4/2016,7,39,5.84,72,16.89,0,0
51.5025634765,0.0059233002,13:36:11,20/4/2016,7,39,15.97,100,16.89,0,0
51.5025634765,0.0059299998,13:36:12,20/4/2016,7,2,14.47,136,17.38,0,0
51.5025711059,0.0059383001,13:36:13,20/4/2016,8,4,3.26,39,17.38,0,0
51.5025711059,0.0059482998,13:36:14,20/4/2016,8,2,3.78,48,17.38,0,0
51.5025711059,0.0059650001,13:36:15,20/4/2016,8,0,2.4,23,17.38,0,0
51.5025863647,0.0059750003,13:36:16,20/4/2016,8,3,2.93,38,17.38,0,0
51.5025978088,0.0059850001,13:36:17,20/4/2016,8,25,10.26,92,17.38,0,0
51.5026054382,0.0059966001,13:36:18,20/4/2016,8,1,4.21,39,16.89,0,0
51.5026130676,0.0060083003,13:36:19,20/4/2016,9,2,2.22,27,16.89,0,0
51.5026435852,0.0060016002,13:36:20,20/4/2016,9,1,3.36,21,16.89,0,0
51.502670288,0.0059932999,13:36:21,20/4/2016,8,3,6.72,86,17.38,0,0
51.5026931762,0.0059899997,13:36:22,20/4/2016,8,0,1.41,22,17.38,0,0
51.502708435,0.0059932999,13:36:23,20/4/2016,8,0,1.48,22,17.38,0,0
51.5027198791,0.0059966001,13:36:24,20/4/2016,9,2,6.5,46,17.38,0,0
51.5027351379,0.0059949998,13:36:25,20/4/2016,8,2,4.14,26,16.89,0,0
51.5027503967,0.0059966001,13:36:26,20/4/2016,8,0,1.43,16,17.38,0,0
51.5027656555,0.0059966001,13:36:27,20/4/2016,7,0,1.91,23,17.38,0,0
