0.00000000,0.000000000, 51.50178146,0.00537500, 51.50178146,0.00537660, 51.50178146,0.00537660, 51.50178146,0.00537830, 6,0.00537330, 51.50178146,0.00537500, 51.50178146,0.00537500, 51.50178146,0.00537660, 51.50178146,0.00537660, 51.50178146,0.00537830, 
GPShield
write GPSLOG99.TXT
go
51.50177383,0.00537660, 51.50177383,0.00537830, 51.50177383,0.00537830, mightyohm.com Geiger Counter 1.00
http://mightyohm.com/geiger
51.50178146,0.00538000, CPS, 0, CPM, 0, uSv/hr, 0.00, SLOW
51.50178146,0.00538000, CPS, 0, CPM, 0, uSv/hr, 0.00, SLOW
51.50178146,0.00538000, CPS, 0, CPM, 0, uSv/hr, 0.00, SLOW
51.50178146,0.00538330, CPS, 1, CPM, 1, uSv/hr, 0.00, SLOW
51.50177383,0.00539830, CPS, 0, CPM, 1, uSv/hr, 0.00, SLOW
51.50175857,0.00540000, CPS, 1, CPM, 2, uSv/hr, 0.01, SLOW
51.50175857,0.00539160, CPS, 1, CPM, 3, uSv/hr, 0.01, SLOW
51.50175094,0.00538500, CPS, 0, CPM, 3, uSv/hr, 0.01, SLOW
51.50175094,0.00538500, CPS, 0, CPM, 3, uSv/hr, 0.01, SLOW
51.50175094,0.00538500, CPS, 0, CPM, 3, uSv/hr, 0.01, SLOW
51.50175094,0.00538330, CPS, 0, CPM, 3, uSv/hr, 0.01, SLOW
51.50175094,0.00538330, CPS, 1, CPM, 4, uSv/hr, 0.02, SLOW
51.50175094,0.00538330, CPS, 1, CPM, 5, uSv/hr, 0.02, SLOW
51.50175094,0.00538330, CPS, 1, CPM, 6, uSv/hr, 0.03, SLOW
51.50175094,0.00538330, CPS, 1, CPM, 7, uSv/hr, 0.03, SLOW
51.50175094,0.00538330, CPS, 2, CPM, 9, uSv/hr, 0.05, SLOW
51.50175094,0.00538160, CPS, 0, CPM, 9, uSv/hr, 0.05, SLOW
51.50175094,0.00538330, CPS, 0, CPM, 9, uSv/hr, 0.05, SLOW
51.50175094,0.00538330, CPS, 0, CPM, 9, uSv/hr, 0.05, SLOW
51.50175094,0.00538330, CPS, 0, CPM, 9, uSv/hr, 0.05, SLOW
51.50175094,0.00538330, CPS, 1, CPM, 10, uSv/hr, 0.05, SLOW
51.50175094,0.00538330, CPS, 1, CPM, 11, uSv/hr, 0.06, SLOW
51.50175094,0.00538330, CPS, 0, CPM, 11, uSv/hr, 0.06, SLOW
51.50175094,0.00538330, CPS, 1, CPM, 12, uSv/hr, 0.06, SLOW
51.50175094,0.00538330, CPS, 2, CPM, 14, uSv/hr, 0.07, SLOW
CPS, 0, CPM, 14, uSv/hr, 0.07, SLOW
51.50175094,0.00538500, CPS, 2, CPM, 16, uSv/hr, 0.09, SLOW
51.50175094,0.00538500, CPS, 0, CPM, 16, uSv/hr, 0.09, SLOW
51.50175094,0.00538500, CPS, 1, CPM, 17, uSv/hr, 0.09, SLOW
51.50175094,0.00538500, CPS, 0, CPM, 17, uSv/hr, 0.09, SLOW
51.50175857,0.00538660, CPS, 1, CPM, 18, uSv/hr, 0.10, SLOW
51.50175094,0.00538660, CPS, 0, CPM, 18, uSv/hr, 0.10, SLOW
51.50175857,0.00538660, CPS, 2, CPM, 20, uSv/hr, 0.11, SLOW
51.50175857,0.00538830, CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
51.50175857,0.00538830, CPS, 0, CPM, 20, uSv/hr, 0.11, SLOW
51.50175857,0.00538830, CPS, 2, CPM, 22, uSv/hr, 0.12, SLOW
51.50176620,0.00538830, CPS, 0, CPM, 22, uSv/hr, 0.12, SLOW
51.50176620,0.00538500, CPS, 0, CPM, 22, uSv/hr, 0.12, SLOW
51.50176620,0.00538330, CPS, 0, CPM, 22, uSv/hr, 0.12, SLOW
51.50176620,0.00538330, CPS, 1, CPM, 23, uSv/hr, 0.13, SLOW
51.50176620,0.00538160, CPS, 1, CPM, 24, uSv/hr, 0.13, SLOW
51.50176620,0.00538330, CPS, 2, CPM, 26, uSv/hr, 0.14, SLOW
51.50176620,0.00538330, CPS, 1, CPM, 27, uSv/hr, 0.15, SLOW
51.50176620,0.00538500, CPS, 0, CPM, 27, uSv/hr, 0.15, SLOW
51.50176620,0.00538500, CPS, 1, CPM, 28, uSv/hr, 0.15, SLOW
51.50176620,0.00538500, CPS, 2, CPM, 30, uSv/hr, 0.17, SLOW
51.50176620,0.00538660, CPS, 0, CPM, 30, uSv/hr, 0.17, SLOW
51.50176620,0.00538660, CPS, 1, CPM, 31, uSv/hr, 0.17, SLOW
51.50176620,0.00538500, CPS, 2, CPM, 33, uSv/hr, 0.18, SLOW
51.50175857,0.00538500, CPS, 0, CPM, 33, uSv/hr, 0.18, SLOW
51.50175857,0.00539000, CPS, 2, CPM, 35, uSv/hr, 0.19, SLOW
51.50175857,0.00537500, CPS, 1, CPM, 36, uSv/hr, 0.20, SLOW
51.50175094,0.00537160, CPS, 0, CPM, 36, uSv/hr, 0.20, SLOW
51.50175094,0.00536660, CPS, 0, CPM, 36, uSv/hr, 0.20, SLOW
51.50174331,0.00536660, CPS, 0, CPM, 36, uSv/hr, 0.20, SLOW
51.50174331,0.00536000, CPS, 1, CPM, 37, uSv/hr, 0.21, SLOW
51.50173187,0.00535500, CPS, 0, CPM, 37, uSv/hr, 0.21, SLOW
51.50172424,0.00534830, CPS, 1, CPM, 38, uSv/hr, 0.21, SLOW
51.50172424,0.00534660, CPS, 1, CPM, 39, uSv/hr, 0.22, SLOW
51.50172424,0.00534500, CPS, 0, CPM, 39, uSv/hr, 0.22, SLOW
51.50172424,0.00534330, CPS, 0, CPM, 39, uSv/hr, 0.22, SLOW
51.50172424,0.00534330, CPS, 0, CPM, 39, uSv/hr, 0.22, SLOW
51.50171661,0.00534160, CPS, 1, CPM, 40, uSv/hr, 0.22, SLOW
51.50171661,0.00534160, CPS, 0, CPM, 39, uSv/hr, 0.22, SLOW
51.50171661,0.00533830, CPS, 0, CPM, 39, uSv/hr, 0.22, SLOW
51.50171661,0.00533500, CPS, 0, CPM, 38, uSv/hr, 0.21, SLOW
51.50171661,0.00533500, CPS, 1, CPM, 38, uSv/hr, 0.21, SLOW
51.50171661,0.00533500, CPS, 0, CPM, 38, uSv/hr, 0.21, SLOW
51.50171661,0.00533500, CPS, 1, CPM, 39, uSv/hr, 0.22, SLOW
51.50171661,0.00533330, CPS, 0, CPM, 39, uSv/hr, 0.22, SLOW
51.50171661,0.00533160, CPS, 1, CPM, 40, uSv/hr, 0.22, SLOW
51.50174331,0.00536160, CPS, 1, CPM, 40, uSv/hr, 0.22, SLOW
51.50174331,0.00535830, CPS, 1, CPM, 40, uSv/hr, 0.22, SLOW
51.50174331,0.00535000, CPS, 0, CPM, 39, uSv/hr, 0.22, SLOW
51.50175094,0.00536500, CPS, 0, CPM, 38, uSv/hr, 0.21, SLOW
51.50175857,0.00536660, CPS, 1, CPM, 37, uSv/hr, 0.21, SLOW
51.50175857,0.00536830, CPS, 1, CPM, 38, uSv/hr, 0.21, SLOW
51.50175857,0.00537000, CPS, 1, CPM, 39, uSv/hr, 0.22, SLOW
51.50175857,0.00537000, CPS, 0, CPM, 39, uSv/hr, 0.22, SLOW
51.50175857,0.00537500, CPS, 1, CPM, 40, uSv/hr, 0.22, SLOW
51.50177383,0.00537660, CPS, 0, CPM, 39, uSv/hr, 0.22, SLOW
51.50178146,0.00537660, CPS, 1, CPM, 39, uSv/hr, 0.22, SLOW
51.50178146,0.00537160, CPS, 0, CPM, 39, uSv/hr, 0.22, SLOW
51.50178146,0.00536660, CPS, 1, CPM, 39, uSv/hr, 0.22, SLOW
51.50178146,0.00536000, CPS, 1, CPM, 38, uSv/hr, 0.21, SLOW
51.50178146,0.00535660, CPS, 0, CPM, 38, uSv/hr, 0.21, SLOW
51.50179672,0.00537660, CPS, 1, CPM, 37, uSv/hr, 0.21, SLOW
51.50179672,0.00538500, CPS, 0, CPM, 37, uSv/hr, 0.21, SLOW
51.50179672,0.00537830, CPS, 1, CPM, 37, uSv/hr, 0.21, SLOW
51.50179672,0.00537830, CPS, 0, CPM, 37, uSv/hr, 0.21, SLOW
51.50179672,0.00538160, CPS, 1, CPM, 37, uSv/hr, 0.21, SLOW
51.50179672,0.00538660, CPS, 0, CPM, 37, uSv/hr, 0.21, SLOW
51.50181579,0.00540160, CPS, 0, CPM, 35, uSv/hr, 0.19, SLOW
51.50182342,0.00541660, CPS, 1, CPM, 36, uSv/hr, 0.20, SLOW
51.50182342,0.00541830, CPS, 0, CPM, 36, uSv/hr, 0.20, SLOW
51.50182342,0.00542000, CPS, 1, CPM, 35, uSv/hr, 0.19, SLOW
51.50182342,0.00542160, CPS, 0, CPM, 35, uSv/hr, 0.19, SLOW
51.50182342,0.00542160, CPS, 2, CPM, 37, uSv/hr, 0.21, SLOW
51.50182342,0.00542330, CPS, 0, CPM, 37, uSv/hr, 0.21, SLOW
51.50182342,0.00542330, CPS, 1, CPM, 37, uSv/hr, 0.21, SLOW
51.50182342,0.00542330, CPS, 4, CPM, 40, uSv/hr, 0.22, SLOW
51.50182342,0.00542500, CPS, 0, CPM, 38, uSv/hr, 0.21, SLOW
51.50182342,0.00542660, CPS, 0, CPM, 37, uSv/hr, 0.21, SLOW
51.50182342,0.00542660, CPS, 0, CPM, 37, uSv/hr, 0.21, SLOW
51.50182342,0.00542660, CPS, 0, CPM, 36, uSv/hr, 0.20, SLOW
51.50183105,0.00542660, CPS, 1, CPM, 35, uSv/hr, 0.19, SLOW
51.50183105,0.00542830, CPS, 2, CPM, 37, uSv/hr, 0.21, SLOW
51.50183105,0.00543000, CPS, 0, CPM, 36, uSv/hr, 0.20, SLOW
51.50183105,0.00543500, CPS, 1, CPM, 35, uSv/hr, 0.19, SLOW
51.50183105,0.00543830, CPS, 2, CPM, 37, uSv/hr, 0.21, SLOW
51.50183105,0.00544330, CPS, 0, CPM, 35, uSv/hr, 0.19, SLOW
51.50183105,0.00544660, CPS, 1, CPM, 35, uSv/hr, 0.19, SLOW
51.50184631,0.00543000, CPS, 0, CPM, 35, uSv/hr, 0.19, SLOW
51.50186538,0.00541660, CPS, 0, CPM, 35, uSv/hr, 0.19, SLOW
51.50187301,0.00541660, CPS, 0, CPM, 35, uSv/hr, 0.19, SLOW
51.50187301,0.00540830, CPS, 0, CPM, 34, uSv/hr, 0.19, SLOW
51.50188064,0.00539160, CPS, 1, CPM, 35, uSv/hr, 0.19, SLOW
51.50189590,0.00539160, CPS, 1, CPM, 35, uSv/hr, 0.19, SLOW
51.50190353,0.00539160, CPS, 0, CPM, 34, uSv/hr, 0.19, SLOW
51.50190353,0.00539330, CPS, 1, CPM, 35, uSv/hr, 0.19, SLOW
51.50191116,0.00540160, CPS, 1, CPM, 36, uSv/hr, 0.20, SLOW
51.50191116,0.00539660, CPS, 2, CPM, 38, uSv/hr, 0.21, SLOW
51.50191879,0.00540160, CPS, 2, CPM, 39, uSv/hr, 0.22, SLOW
51.50193023,0.00540160, CPS, 0, CPM, 39, uSv/hr, 0.22, SLOW
51.50191879,0.00539660, CPS, 2, CPM, 41, uSv/hr, 0.23, SLOW
51.50193023,0.00539660, CPS, 0, CPM, 41, uSv/hr, 0.23, SLOW
51.50193786,0.00540160, CPS, 0, CPM, 40, uSv/hr, 0.22, SLOW
51.50194549,0.00540660, CPS, 0, CPM, 40, uSv/hr, 0.22, SLOW
51.50195312,0.00540330, CPS, 2, CPM, 41, uSv/hr, 0.23, SLOW
51.50196075,0.00542160, CPS, 1, CPM, 42, uSv/hr, 0.23, SLOW
51.50196838,0.00542160, CPS, 0, CPM, 41, uSv/hr, 0.23, SLOW
51.50197601,0.00542660, CPS, 0, CPM, 40, uSv/hr, 0.22, SLOW
51.50199508,0.00544660, CPS, 0, CPM, 39, uSv/hr, 0.22, SLOW
51.50199508,0.00546330, CPS, 0, CPM, 39, uSv/hr, 0.22, SLOW
51.50199508,0.00546500, CPS, 0, CPM, 39, uSv/hr, 0.22, SLOW
51.50200271,0.00547500, CPS, 0, CPM, 38, uSv/hr, 0.21, SLOW
51.50201797,0.00547330, CPS, 4, CPM, 41, uSv/hr, 0.23, SLOW
51.50201797,0.00547160, CPS, 0, CPM, 40, uSv/hr, 0.22, SLOW
51.50202560,0.00546500, CPS, 0, CPM, 40, uSv/hr, 0.22, SLOW
51.50203323,0.00545160, CPS, 0, CPM, 39, uSv/hr, 0.22, SLOW
51.50203323,0.00545000, CPS, 0, CPM, 39, uSv/hr, 0.22, SLOW
51.50204086,0.00545000, CPS, 0, CPM, 38, uSv/hr, 0.21, SLOW
51.50204086,0.00544830, CPS, 1, CPM, 39, uSv/hr, 0.22, SLOW
51.50204086,0.00544660, CPS, 0, CPM, 38, uSv/hr, 0.21, SLOW
51.50204086,0.00544660, CPS, 0, CPM, 37, uSv/hr, 0.21, SLOW
51.50204086,0.00544830, CPS, 0, CPM, 37, uSv/hr, 0.21, SLOW
51.50204086,0.00544660, CPS, 3, CPM, 39, uSv/hr, 0.22, SLOW
51.50204086,0.00544830, CPS, 0, CPM, 39, uSv/hr, 0.22, SLOW
51.50204086,0.00545000, CPS, 0, CPM, 38, uSv/hr, 0.21, SLOW
51.50204086,0.00545330, CPS, 1, CPM, 39, uSv/hr, 0.22, SLOW
51.50204086,0.00545660, CPS, 0, CPM, 38, uSv/hr, 0.21, SLOW
51.50204086,0.00545500, CPS, 0, CPM, 38, uSv/hr, 0.21, SLOW
51.50204086,0.00545500, CPS, 0, CPM, 38, uSv/hr, 0.21, SLOW
51.50204086,0.00545830, CPS, 1, CPM, 38, uSv/hr, 0.21, SLOW
51.50204086,0.00544160, CPS, 1, CPM, 39, uSv/hr, 0.22, SLOW
51.50205230,0.00542500, CPS, 0, CPM, 38, uSv/hr, 0.21, SLOW
