latitude,longitude,time,date,MQ135 value,MQ135 average,MQ135 peak,MQ2 value, MQ2 average, MQ2 peak, dust
51.5021247863,0.0053350000,14:18:44,0/0/200,89.00,89.43,93.00,63.00,63.91,66.00,44.00
51.5021247863,0.0053300004,14:18:44,0/0/200,89.00,89.27,90.00,64.00,63.69,65.00,44.00
51.5021476745,0.0053550000,14:18:46,0/0/200,89.00,89.21,108.00,64.00,63.39,75.00,44.00
51.5021743774,0.0053983001,14:18:47,18/11/2016,91.00,90.50,92.00,67.00,65.88,68.00,44.00
51.5021820068,0.0054200000,14:18:48,18/11/2016,94.00,92.51,95.00,70.00,68.07,70.00,44.00
51.5021743774,0.0054500007,14:18:48,18/11/2016,99.00,96.96,100.00,73.00,71.68,74.00,44.00
51.5021629333,0.0054716005,14:18:50,18/11/2016,102.00,100.65,103.00,76.00,74.47,76.00,44.00
51.5021553039,0.0054883003,14:18:51,18/11/2016,104.00,102.89,105.00,77.00,76.12,78.00,44.00
51.5021629333,0.0055100007,14:18:52,18/11/2016,105.00,104.59,106.00,78.00,77.02,78.00,44.00
51.5021553039,0.0055200004,14:18:52,18/11/2016,107.00,106.11,108.00,78.00,77.62,79.00,44.00
51.5021553039,0.0055349998,14:18:54,18/11/2016,104.00,106.05,108.00,76.00,77.14,79.00,44.00
51.5021629333,0.0055500001,14:18:55,18/11/2016,103.00,102.34,104.00,75.00,74.80,76.00,44.00
51.5021629333,0.0055650000,14:18:56,18/11/2016,104.00,103.81,105.00,76.00,75.94,77.00,44.00
51.5021743774,0.0055800004,14:18:56,18/11/2016,105.00,104.84,106.00,77.00,76.07,77.00,44.00
51.5021820068,0.0055982999,14:18:58,18/11/2016,106.00,105.69,107.00,77.00,76.19,77.00,44.00
51.5021896362,0.0056133003,14:18:59,18/11/2016,106.00,105.88,107.00,76.00,76.21,78.00,44.00
51.5021896362,0.0056250000,14:19:0,18/11/2016,106.00,106.15,107.00,76.00,76.02,77.00,44.00
51.5021896362,0.0056383008,14:19:0,18/11/2016,107.00,106.36,108.00,76.00,75.80,77.00,44.00
51.5021743774,0.0056616001,14:19:2,18/11/2016,106.00,105.51,107.00,75.00,75.05,77.00,44.00
51.5021629333,0.0056783003,14:19:3,18/11/2016,106.00,105.14,106.00,75.00,74.66,76.00,44.00
51.5021629333,0.0056932997,14:19:4,18/11/2016,105.00,105.03,106.00,74.00,74.13,75.00,44.00
51.5021629333,0.0057116003,14:19:4,18/11/2016,100.00,102.11,105.00,71.00,71.73,74.00,44.00
51.5021629333,0.0057216000,14:19:6,18/11/2016,99.00,98.44,103.00,70.00,69.36,71.00,44.00
51.5021553039,0.0057300000,14:19:7,18/11/2016,100.00,97.93,102.00,70.00,69.78,71.00,44.00
51.5021553039,0.0057365999,14:19:8,18/11/2016,100.00,100.32,102.00,71.00,70.00,71.00,44.00
51.5021820068,0.0057583003,14:19:8,18/11/2016,101.00,100.27,102.00,71.00,70.46,72.00,44.00
